,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
10,10,10,16,0.0006927016740082,5.486492108396534e-05,0.0001447534345427,0.0003924378919573,0.0028314925911625,0.000350429559737,0.0003180186318313,0.0024312203250993,3.826254585024854e-06,0.0019874088907694,1.8690841641904047e-06,0.0001404870899817,0.0007147838519679,0.0008709689989878,0.096812885852411,0.118076981125418,0.0377377057076635,0.1286656396256444,0.035297237636877,0.1303868615489442,0.0343758362154324,0.1317423008685145,0.0333603645144545,0.1329082881284648,0.0329504319034908,0.1343214046965928,0.0293092320778047,0.0436743564112048,-3.912876702710848e-05,-0.0011095923091483,6814.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739880588071,1.0819446872659413,1.0566528829084276,-0.0010994411202324
11,11,11,66,0.0001422447529186,0.0022168806961558,0.0027042098798558,0.0024356590479088,2.748974458353152e-05,0.0004078447603106,2.8364923217520195e-05,0.0023350445659613,2.4460306445533363e-06,0.0036651475215618,9.38566905515124e-06,3.2474570340673094e-05,1.0962897684883878e-05,0.0033114445535153,0.086762267824397,0.129707799755488,0.0239050870650354,0.1449329494387856,0.0179215688899638,0.1485405441089788,0.0160863685654262,0.1506418630370619,0.0144116545469126,0.1521187674779099,0.0139198059997492,0.1542415527480674,0.0082848020701221,0.0649374852422513,-4.605651951633653e-05,-0.0011095919365566,8435.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739880750058,1.098005059413605,1.056652882907414,-0.0010994411202324
12,12,12,19,2.9571295232384264e-05,6.925283074923012e-06,1.8898847990353409e-06,0.0002573575238216,0.000909263728799,0.0004774950064499,4.362880894594002e-05,0.001362798593118,2.32122052206514e-06,0.0002481029827642,0.0001098220647474,1.1423049479840835e-05,7.1971645139995326e-06,0.0038793094670201,0.0981504523081357,0.1166292317464736,0.0395568759775822,0.1265569632406633,0.0375667467320853,0.1280170324936815,0.0368284131668109,0.1292362977858522,0.0359173975804223,0.1302552749846527,0.0355206409298482,0.1316801209895504,0.0319221233236784,0.0409994777566279,-1.033534821584403e-05,-0.0011095916770391,8245.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739888034036,1.0798727874522316,1.0566528828618746,-0.0010994411202324
13,13,13,71,7.344892767039915e-06,0.0001352261543699,0.0014537427745388,0.0004685078962782,3.4599492875470857e-06,0.0006035280870603,0.0001902303184701,8.659180885615115e-06,0.0003274512822714,0.001265519189593,0.0001220662086656,8.95803490345299e-05,3.131189602222924e-06,0.0067438125287393,0.0984477747127228,0.1161869382196115,0.0400597411913878,0.1260440294890141,0.038066830995321,0.1275934350711391,0.0373083643003011,0.1288432377778743,0.0362602419474611,0.1300803849268474,0.0357098540902112,0.1316017048385084,0.0320608263386126,0.0408757223330267,-1.8151985601247053e-05,-0.001109591585509,7356.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739938417527,1.079485729219268,1.0566528825468602,-0.0010994411202327
14,14,14,32,0.0017415353686278,7.495989719584714e-05,1.0867958151194854e-05,1.1850478073395596e-05,9.862875817123164e-05,0.0086255992404855,0.001161754041789,7.911189778464251e-05,0.0030372482276794,0.0002619703139643,2.821019724550352e-06,2.24586228967191e-05,3.710349165074251e-06,0.002703268722768,0.0994165628621201,0.1151736806335298,0.0413206065657199,0.1245561240321774,0.0396990279569683,0.12586596518304,0.0389745928620387,0.1270782652412838,0.0380717590791362,0.1281548794255411,0.0375677132879439,0.1296368380091592,0.0341622291160695,0.0387462281637209,-4.027061384923736e-05,-0.0011095909871266,8032.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739874406414,1.0780803256547995,1.0566528829470785,-0.0010994411202323
15,15,15,35,1.998410692995244e-05,0.0008992566160447,0.0007520534493027,0.0005606909804263,0.0016619175401652,0.0008519535045244,6.4474342869013815e-06,0.0014918281440907,8.201909546368145e-06,0.0004145120271082,1.278709026379573e-06,0.0027545077808021,2.7295534624848413e-06,9.83519464509204e-05,0.0848689269489978,0.1318308802466958,0.0212769474186522,0.1481463424680226,0.0142575817222537,0.1526522560268264,0.0115295639393663,0.1557550991159443,0.0088020305560279,0.1582347381223825,0.0073712932331973,0.1615885254025218,6.869667003684278e-05,0.0732778030296361,-2.9738369533045093e-05,-0.0011095906106987,7981.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739940201,1.1020551588794063,1.0566528825357095,-0.0010994411202327
16,16,16,74,1.301780806475481e-06,0.0010897008158308,0.0008046139060902,1.990718587524133e-06,0.0039042994179698,0.0035745120994426,0.0019311044033915,1.8301241732389984e-06,4.922972939832136e-05,0.0071349711845872,0.0020799491611141,0.0072963223428153,0.0006298376751609,0.0002503888203537,0.0996440746384619,0.1150215101837072,0.0417035198215992,0.1242893608329728,0.0402836396148356,0.1253875916450253,0.0398019425190002,0.1263707534345536,0.0391091209205797,0.1272379326062076,0.0387926673960366,0.1284858576374722,0.035581049266978,0.0373761940031451,-8.149621102330459e-05,-0.0011095906000093,9520.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739897882704,1.0775323541631583,1.056652882800297,-0.0010994411202325
17,17,17,39,5.051665546170505e-05,5.855541355937973e-06,0.0008184722892893,1.8262975223438827e-05,4.677851750655218e-06,0.0018730933428141,0.0017085493083742,0.0044714254679653,2.143916068322024e-06,0.0001725489795584,0.0033825880897836,0.005257220065907,7.831793010258626e-05,0.0052322348792721,0.1009230955964578,0.1133594107145624,0.043451621024059,0.1222479208777345,0.0420764099260932,0.1234350489729484,0.0414538726312604,0.1245547973794556,0.0406312543251129,0.1255461812718293,0.0401901991737372,0.1268622773235155,0.0370182011415795,0.0358352364550345,-3.994251576429529e-05,-0.0011095899514109,8573.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739942985687,1.0760291372450832,1.0566528825182966,-0.0010994411202327
18,18,18,49,2.0438432941021843e-06,8.804559533436049e-05,4.055330981036249e-06,9.266557925673784e-05,0.0002394915323447,0.0084582198230032,5.402124381053514e-06,0.0001223404804324,4.1509959184913176e-05,4.352352404643212e-06,0.0020335306251359,0.0067541197742508,4.350544552625605e-06,0.0009841422789907,0.0861101401921115,0.1304354011005768,0.0229525351054937,0.1462137728271978,0.016325261897119,0.150582360237739,0.0135584268671659,0.1538534260340635,0.010517060610659,0.1568985523655927,0.0082736601173948,0.1612250231125203,8.36874578578405e-06,0.0734288659029779,-1.7729380499619845e-05,-0.0011095898622888,9625.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739881156842,1.1002224205936708,1.0566528829048716,-0.0010994411202324
19,19,19,12,1.3065319345645304e-06,1.1336398770196068e-05,8.912166866974049e-06,5.42226159426802e-06,2.993752988745384e-06,0.0001158696467272,0.0035686590478073,0.0001747623522303,8.731708909749787e-06,2.7352199327847845e-05,0.0013492070156243,0.0002082902452103,1.4926658643414152e-06,0.0001260937371899,0.0866896502384054,0.1297123171748681,0.0236691035939603,0.1456352147353606,0.0167235767431144,0.1503669903411544,0.0136190403759116,0.1539211907011868,0.010359603450784,0.1570504304170437,0.0081556533925215,0.1612771904241638,3.263438131440501e-06,0.0734213988419023,-3.311625865515827e-06,-0.0011095897894332,9891.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739914376425,1.1000508051071152,1.0566528826971724,-0.0010994411202325
20,20,20,23,0.0036447655488699,1.1325195473232854e-06,0.0004350252509587,4.3021587764556285e-05,1.3596327032624817e-05,0.0021056457363466,0.0049377414770804,0.0027892840881864,0.0004727219348471,0.0012923443654765,0.0012987075244797,0.0079294412569979,3.296769262011155e-06,0.0001500647780912,0.0867066524700362,0.1297619140264547,0.0237238251901447,0.1454517010628234,0.017025467102672,0.1500052299654798,0.0140183822884409,0.153524188857561,0.0107461589263326,0.1567178631362235,0.0084270824146983,0.1610944126371044,0.0001249275817416,0.0733163824149445,-5.327348100588246e-05,-0.0011095896440608,9157.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739906794543,1.0997181386013943,1.0566528827445778,-0.0010994411202325
21,21,21,55,0.0005613715600225,3.870705161638052e-05,0.0010424336641106,7.515503896091277e-06,0.001070333718576,0.0006749318215056,1.1738250482454063e-06,1.325940709739304e-05,0.0001675427491646,8.38756128576441e-06,9.045703798328457e-06,0.0044841551572515,1.2850895300209852e-06,6.179424710484325e-05,0.0863059695110688,0.1302127885097944,0.023217305200522,0.1459075685903962,0.0166470083056271,0.1502634304759226,0.0138640624725896,0.1535641021149891,0.0107759458363437,0.1566986229463065,0.0084032292926693,0.1611681869725715,2.874519929274064e-06,0.0734447855101984,-9.824649579379877e-06,-0.0011095896405093,10799.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739891133628,1.0999469901812011,1.0566528828424944,-0.0010994411202324
22,22,22,77,0.0073439495915489,4.688377337386385e-05,4.173742399025502e-06,0.000540934328505,6.501576378257442e-05,2.47614787541692e-06,4.800033736587919e-06,0.0006681377676738,0.0045054944306953,0.0003188425338762,0.0099019881619606,0.0018598268434944,0.0001768938732257,9.527430282752388e-05,0.1010543970689597,0.1131881728002247,0.043674317373177,0.121818735316375,0.0426632144390483,0.1227269208519863,0.0422515742706855,0.1236697588614726,0.0415818933928192,0.1245395889887828,0.0412269378652076,0.1257671951711011,0.0381849968643955,0.0346450258355156,-2.169281485483832e-05,-0.0011095895482628,13310.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739930190426,1.0755104822880792,1.056652882598299,-0.0010994411202326
23,23,23,78,0.0031062151985357,1.6020960966822405e-05,0.0072203406641179,3.490791893488952e-06,1.1581983361207e-05,0.0003414701651462,0.0005667255176223,5.591070656623122e-05,2.303915939307529e-05,0.0014075358511855,2.4200686648900217e-05,0.0014974189152354,3.766702610765414e-06,0.0069157724461905,0.086528253281359,0.1299657820807964,0.0235102657400359,0.1455820222248411,0.0169869217533961,0.149947889178459,0.0141238297168944,0.1534431237241751,0.0107807788541976,0.1567210712809457,0.0083854500275978,0.1611706257858279,1.3226369927633776e-05,0.0734325563011379,-2.146943829014381e-05,-0.0011095895343301,9835.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:53:25.584579,0.0789739940662023,1.0997276978884245,1.0566528825328236,-0.0010994411202327
