,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
86,0.0029836472402833404,0.07897399436845753,-0.0001246057792538208,-0.0010994411202327548,2360.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
65,0.0004229242874389499,0.07897399429480399,-2.1116007505278075e-05,-0.001099441120232751,3224.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
59,0.00024201282647943835,0.07897399432698575,-1.2637965172040246e-05,-0.0010994411202327507,3471.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
24,9.326033468832218e-06,0.07897399426029014,-6.250890675190924e-07,-0.0010994411202327494,4915.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
39,3.7649358067924715e-05,0.07897399429856876,-2.272717758297168e-06,-0.001099441120232748,4295.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
22,7.742636826811262e-06,0.07897399426756561,-5.263429154501821e-07,-0.0010994411202327476,4998.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
78,0.0014174741629268076,0.07897399406620234,-6.37080994326153e-05,-0.001099441120232738,2689.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
48,8.697490026177834e-05,0.07897399404956873,-4.919791218620999e-06,-0.0010994411202327338,3924.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
35,2.5950242113997373e-05,0.07897399402010002,-1.6114121923849552e-06,-0.0010994411202327333,4460.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
6,1.747528400007683e-06,0.07897399392462592,-1.334892148101332e-07,-0.0010994411202327281,5669.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
71,0.000739072203352579,0.07897399384175273,-3.520714900367454e-05,-0.0010994411202327262,2977.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
53,0.00013848863713938718,0.0789739937890928,-7.554790287073242e-06,-0.0010994411202327205,3718.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
43,5.462277217684348e-05,0.07897399371694659,-3.203882074595986e-06,-0.0010994411202327192,4130.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
98,0.009111627561154906,0.07897399362717449,-0.0003298687602276503,-0.0010994411202327125,1867.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
17,4.862601580065354e-06,0.07897399358326478,-3.426918731048036e-07,-0.0010994411202327112,5206.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
99,0.010000000000000005,0.07897399361593463,-0.00035651101379091687,-0.001099441120232711,1826.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
8,2.1049041445120176e-06,0.07897399351792243,-1.5847418788660652e-07,-0.0010994411202327077,5584.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
85,0.002718588242732946,0.07897399349489923,-0.00011465095063364162,-0.0010994411202327077,2401.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
26,1.1233240329780288e-05,0.07897399347090475,-7.424704201751194e-07,-0.0010994411202327066,4832.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
97,0.008302175681319761,0.07897399350694732,-0.0003049851194343533,-0.001099441120232706,1908.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
20,6.4280731172843194e-06,0.078973993355927,-4.4327115583328203e-07,-0.0010994411202326982,5081.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
96,0.007564633275546291,0.0789739932721808,-0.00028178748737137815,-0.0010994411202326926,1949.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
64,0.00038535285937105315,0.0789739931048109,-1.938707533565665e-05,-0.0010994411202326847,3265.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
58,0.00022051307399030456,0.07897399305199461,-1.1599967365511238e-05,-0.001099441120232682,3512.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
77,0.0012915496650148853,0.07897399301904265,-5.8548449880851765e-05,-0.0010994411202326782,2730.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
95,0.00689261210434971,0.07897399293733726,-0.0002601969218544589,-0.001099441120232674,1990.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.544325
