,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime
88,1e-06,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1e-06,1e-06,0.001,0.060607286376787035,0.06497672685484622,0.0011816182681935626,0.060180423608087716,0.0178898700763851,0.05833719661446585,0.02434675464385209,0.05713571312167018,0.021748165390082355,0.06259867798642867,0.013745633020133003,0.002392292238139828,-0.0003350085999688155,-0.002491886481690362,9586.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
90,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,1e-06,1e-06,1e-06,0.001,0.060532246549213534,0.06487805753056257,0.00120637221347137,0.060035016031949946,0.017968971264694926,0.05811389930247105,0.02445026227936327,0.056877456692795494,0.021965911758558,0.06220323971927128,0.01412135099324353,0.001929913766170244,-0.00020847689814694327,-0.0024918864575835618,11736.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
66,1e-06,0.001,0.001,0.001,0.001,1e-06,0.001,0.001,0.001,0.001,1e-06,0.001,0.06053953531063783,0.06486768329420704,0.0012145374016077244,0.060041239720043965,0.01794702461241471,0.05814753288610694,0.02441553682338227,0.0569231543097173,0.02190072878541018,0.062284073026355524,0.014017802582265936,0.0020503382664172143,-0.00030470043440414594,-0.00249188645736918,9843.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
58,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,0.06057236806168369,0.06502856155946164,0.001147256497945357,0.0601424403559993,0.01801568822794956,0.0581445236081747,0.02454523697045813,0.05686696816787513,0.022144402367899323,0.06210013646084517,0.014400168948697634,0.0016219994398378804,-0.00023602260304706715,-0.0024918864483106182,10125.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
41,1e-06,0.001,0.001,0.001,0.001,1e-06,0.001,0.001,1e-06,1e-06,1e-06,1e-06,0.060571251535708595,0.06502706007746849,0.001147556383305474,0.06014424714923716,0.01801104757888618,0.058149500619122885,0.024538967999404054,0.0568716704463871,0.02214009285932417,0.06210209987888368,0.014398103780645748,0.00161955462879874,-0.0002842761955177766,-0.002491886447116169,9592.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
67,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.060623795153260204,0.0649554336857829,0.001224719488215698,0.06010459186757748,0.018009518151090514,0.058180509754324844,0.02449931210597965,0.05694244773928777,0.022018294903176756,0.062267715895793045,0.014172904809926029,0.0018942075034027257,-8.673486058987695e-05,-0.00249188638967111,12043.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
75,0.001,1e-06,0.001,0.001,1e-06,0.001,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.060557103819773375,0.06484158245589065,0.0012385722064182558,0.060041758531365716,0.017918854206392547,0.05819545247204568,0.024363844813056687,0.056993584449180304,0.02179679238133339,0.06241424643319032,0.013849938576237354,0.002245333286871533,-0.00024195930859616395,-0.0024918863610737443,10073.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
85,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.001,0.001,1e-06,1e-06,0.001,0.001,0.0606204517282494,0.06495937994709221,0.0012225913159979564,0.060098829614068434,0.018024229562161435,0.05815793534339237,0.024521701705582103,0.056911551524020866,0.02206318312789074,0.062210527935996664,0.01424774408738928,0.0018056054686353506,-0.00022507253246980817,-0.0024918863546585985,10532.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
38,1e-06,1e-06,0.001,0.001,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,0.001,0.06056735831469842,0.06482681550507441,0.001256692581004613,0.06002355258396537,0.01793652753975556,0.05817639850823774,0.024380012062263774,0.05697604471505613,0.021816245268441413,0.062392400258963567,0.013874972966324471,0.0022173800419909915,-0.00016813873628690278,-0.0024918863101619903,10509.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
70,1e-06,1e-06,0.001,1e-06,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,0.001,0.06062791088662883,0.06494802878815492,0.0012358436272092575,0.06008809046773555,0.01803218440678086,0.05815053027962553,0.024526950190890563,0.05690622307286832,0.02206798990764971,0.062205368041230086,0.014253345428060369,0.0017991967454152014,-0.00014810708979983957,-0.0024918863101224906,11596.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
