,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,57,0.0045733854391114,1.0628663377256588e-05,1.1300947360594534e-05,0.0007272932548757,0.0016178489649548,0.0027382729865032,4.588542961884906e-06,1.0085267867643849e-05,7.890084793476935e-06,1.7936060850222036e-05,0.0049698459429824,0.002543890288843,9.558282863937868e-05,0.0003917211768356,0.0974397436297001,0.0738414396686251,0.0734547078559527,0.0841416134312385,0.0776378893365708,0.0846009657515801,0.0785026133072782,0.0866944867044105,0.077195337947405,0.0897767937240978,0.073987679122017,0.0983809550200649,0.0637927955322973,0.0446415731803059,-3.205380539843664e-05,-0.001114031518964,8329.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741567259161,1.2871983234358726,1.287597054895277,-0.0011105324316524
1,1,1,63,0.0002400337955988,0.000211902235325,0.0043645149427832,0.0027431213497747,0.0062950883473985,0.0012132096662041,2.3306403086514296e-06,1.99783746514429e-06,3.853909316744562e-06,0.0001268950429377,4.66951138589616e-06,0.0019121802265389,3.7812089905147344e-06,1.2905524609793762e-05,0.0973339102949954,0.0737534475600714,0.0733621433033275,0.0840340671451821,0.0775338311384246,0.0844887387731206,0.0783930226856121,0.0866210077598479,0.0771180250420593,0.0896896104605319,0.0738814487202315,0.0982474359478579,0.063700537472628,0.0446139039531173,-1.1736752955341491e-05,-0.0011140315188669,9073.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741558540202,1.2870949464755634,1.287597053941366,-0.0011105324316524
2,2,2,84,5.146532332901135e-05,0.0021878572391544,0.003561350705754,2.603643506181458e-06,3.321141955178866e-05,3.072159740155993e-06,2.5587382390998946e-05,8.815293057730685e-06,3.659346180355863e-06,0.0028886015846492,0.0001418158834166,0.0031916661660914,0.00015940847133,0.0001344339848735,0.0974201460890875,0.0738274586630125,0.0734788294771841,0.0841270078918609,0.0776176057737172,0.0845871503328331,0.0784733849105649,0.0867042387032469,0.077240360439603,0.089793401686116,0.0739949112468272,0.0983791637953404,0.0637989803624829,0.0446382984447193,-7.637891269375407e-06,-0.0011140315187232,8491.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741536120743,1.2872037407969104,1.2875970514885278,-0.0011105324316522
3,3,3,58,0.0003588343863061,0.0003115214877551,0.0001442316839104,1.334589937688856e-05,0.0001607709378548,0.0091248895154807,1.3753244621576491e-06,3.180122760894326e-06,1.808538195662072e-05,0.0094308911170564,0.0013728109400724,2.2804151238757555e-05,1.046169182864321e-05,0.0038969563214273,0.0973676762315566,0.0737836811546781,0.0733587429891233,0.0840282372761123,0.0775252463890431,0.084485777840507,0.0783873675592499,0.0866708237510724,0.077159228258425,0.089676306254676,0.0738842773429955,0.0982477994074736,0.0637053125175246,0.0445871836641722,-6.483920978031238e-05,-0.0011140315187044,8001.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741578750432,1.287087575921788,1.2875970561525,-0.0011105324316525
4,4,4,69,0.0002786765858164,1.0371543074722006e-05,0.0021470154523318,0.0004297038615597,1.795770918333298e-05,0.0010800141013742,3.1048944487690164e-06,0.0092973568275598,8.362632145542779e-05,0.0010856895017171,1.411491889309902e-05,4.680507552316937e-05,2.0582736196149065e-06,3.756139149946341e-05,0.0974313492245964,0.0738480230891945,0.0734481574639397,0.0841516264148522,0.0776292447872251,0.0846116177751993,0.0784913191965567,0.0867515161112841,0.0772147209749612,0.0897812835860104,0.0739723805105404,0.0983471340960527,0.0637668422067653,0.0446509097915701,-5.586193566850468e-05,-0.0011140315186971,7809.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741546437736,1.287194025933876,1.287597052617276,-0.0011105324316523
5,5,5,55,1.5582075863728952e-05,2.993098221780775e-05,0.0010777980702958,0.0011812265022981,0.0001864090185449,0.0023467222698191,3.162402232981127e-06,0.0004699089628874,2.114718108169452e-06,1.4022510669012245e-06,0.0031449273943835,0.0002271036685133,3.4205163958419253e-06,0.0069615634072213,0.097332807395261,0.0737502695977355,0.0733610186354814,0.0840286748286012,0.0775312041208699,0.0844812763043725,0.0783893212125539,0.086622983933799,0.0771384374636608,0.0896694421883822,0.0738846373173488,0.0982441679571266,0.0637068747771818,0.0445849668182164,-2.8723654875372865e-05,-0.0011140315186851,8435.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.079574154391074,1.2870910476775468,1.287597052340804,-0.0011105324316523
6,6,6,64,0.0003896364171249,0.004531597839057,0.0047556797782642,0.000109440668373,0.0050024944805724,4.173537971914217e-05,1.731339030717412e-06,0.0013708978802029,0.002546695330279,1.5111853644109862e-05,2.002701427392628e-05,2.025585610000634e-06,0.0007670355183019,0.0054398759697165,0.0973399877231962,0.0737437434086569,0.0733720182528419,0.0840239329094686,0.0775461410917109,0.0844779006573738,0.0784058443417357,0.0866066051112853,0.0771610620415623,0.0896839276184901,0.0739411070162337,0.098227705710017,0.0637491991317358,0.0445897064038995,-5.554575018395709e-05,-0.0011140315185995,7766.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741569476515,1.28711052565478,1.2875970551378757,-0.0011105324316524
7,7,7,54,0.0094011765788637,0.0031935142383053,1.1265712768961855e-05,4.79335466856688e-05,1.3202456619061338e-06,0.000374645052415,5.146041593325563e-05,1.9303631750714267e-05,3.4406591432405392e-06,0.0077309975346204,0.0007300675910056,0.0069745333964888,3.170655859746683e-05,0.0001251017073537,0.0974442140463669,0.0738496719327559,0.0734618133700581,0.0841381802073684,0.077642580069525,0.0845643464428576,0.0785033739692303,0.0867417405689208,0.0772287598074134,0.0897995663136849,0.0739881163791888,0.0983826822499359,0.0637937082551011,0.0446322388784449,-1.932071949603114e-05,-0.00111403151859,8412.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741532019437,1.2872037260436489,1.2875970510398194,-0.0011105324316522
8,8,8,38,0.00962598893311,0.0003720048881471,0.0015601725470858,0.0015475128636042,8.948155362525338e-06,0.0020909652463252,1.0101891891175205e-06,1.4986567852657384e-05,0.0051449853534162,7.718301706357097e-05,0.0002717822386086,5.8179331309204057e-05,8.085962643131523e-06,0.0001321911202781,0.0973392449761108,0.0737567114446827,0.0733653545999236,0.0840366163387961,0.0775367499347527,0.0844905149816819,0.0783947470861108,0.0866412084477551,0.077120817671436,0.0896748107533322,0.073915327235679,0.0982471657987937,0.0637052755116795,0.0446084400894466,-5.920194123548548e-05,-0.0011140315183804,7908.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741543238139,1.2871014390759852,1.2875970522672182,-0.0011105324316523
9,9,9,37,0.0001723352928756,5.019845924220566e-06,3.1190394364637725e-05,0.0008816647848154,0.0004487057049079,0.0005002296532219,4.018237881890639e-06,0.0003648434649516,3.14763552773678e-06,0.0001789051463495,2.7479261794546265e-06,0.0009825362389137,8.95800434290751e-06,0.0001469595356787,0.0973617132414957,0.0738697705200702,0.073406423057083,0.0841465805156805,0.0776141774351003,0.0846181116416558,0.0784772359718676,0.0867185990057378,0.0772023607854649,0.0897734462501985,0.0739720602851252,0.0983534770744155,0.063775754695895,0.0446422939032922,-1.2556608734471457e-05,-0.0011140315180262,7403.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:34:38.455547,0.0795741603101993,1.2871881664520133,1.287597058816727,-0.0011105324316526
