,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
98,0.009111627561154906,0.07542725854270244,-0.001241489261979289,-0.0031434926570991454,1933.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
23,8.497534359086456e-06,0.07542725855247784,-8.624973706140405e-06,-0.003143492657099142,5009.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
55,0.0001668100537200059,0.07542725849500767,-6.436705723331237e-05,-0.0031434926570991367,3696.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
22,7.742636826811262e-06,0.07542725846705406,-8.160605827214912e-06,-0.003143492657099135,5050.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
5,1.5922827933410906e-06,0.07542725837639189,-3.6922599172477753e-06,-0.0031434926570991333,5749.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
10,2.535364493970106e-06,0.07542725839184108,-4.489838977610356e-06,-0.003143492657099132,5543.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
54,0.00015199110829529363,0.07542725837781375,-6.013196102495441e-05,-0.0031434926570991307,3737.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
21,7.05480231071866e-06,0.07542725836379756,-7.726071368994995e-06,-0.003143492657099127,5091.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
53,0.00013848863713938718,0.07542725826115453,-5.618664588671815e-05,-0.0031434926570991246,3778.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
52,0.0001261856883066021,0.0754272581447025,-5.251110949904868e-05,-0.003143492657099121,3819.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
20,6.4280731172843194e-06,0.07542725823897094,-7.319621668139092e-06,-0.003143492657099121,5132.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
19,5.857020818056661e-06,0.07542725808893783,-6.939638779006209e-06,-0.0031434926570991133,5173.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
51,0.0001149756995397738,0.07542725802805125,-4.908677901728463e-05,-0.003143492657099112,3860.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
1,1.0974987654930568e-06,0.07542725798210172,-3.248806390298832e-06,-0.00314349265709911,5914.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
99,0.010000000000000005,0.07542725802887812,-0.001322468410533685,-0.00314349265709911,1892.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
18,5.336699231206323e-06,0.07542725791021906,-6.584618407981053e-06,-0.003143492657099109,5214.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
50,0.00010476157527896651,0.0754272579107501,-4.589640908941307e-05,-0.0031434926570991055,3901.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
84,0.002477076355991714,0.07542725781422295,-0.00048432472204441076,-0.003143492657099104,2506.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
82,0.0020565123083486556,0.07542725779626484,-0.00042143089555861347,-0.0031434926570991003,2588.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
83,0.0022570197196339213,0.07542725781180776,-0.00045181592124235096,-0.0031434926570990994,2547.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
85,0.002718588242732946,0.07542725780206887,-0.0005190892764555064,-0.0031434926570990994,2465.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
86,0.0029836472402833404,0.07542725777376716,-0.0005562465697084677,-0.0031434926570990986,2424.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
49,9.545484566618347e-05,0.0754272577923458,-4.292398236386545e-05,-0.003143492657099098,3942.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
79,0.0015556761439304723,0.07542725768351614,-0.0003417795321669548,-0.003143492657099096,2711.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
81,0.0018738174228603867,0.07542725776891354,-0.00039304298312876755,-0.003143492657099096,2629.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
9,2.310129700083163e-06,0.07542725783870544,-4.304524580995102e-06,-0.0031434926570990947,5584.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
80,0.001707352647470694,0.07542725773096298,-0.00036653103665331414,-0.003143492657099094,2670.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
48,8.697490026177834e-05,0.07542725767242851,-4.01546133898385e-05,-0.003143492657099091,3983.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
87,0.003274549162877735,0.0754272577275784,-0.00059593814319951,-0.003143492657099091,2383.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
78,0.0014174741629268076,0.07542725762757296,-0.0003186786063045067,-0.00314349265709909,2752.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
17,4.862601580065354e-06,0.07542725769953366,-6.25315470912309e-06,-0.00314349265709909,5255.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
88,0.003593813663804633,0.07542725766157254,-0.0006383094677281321,-0.00314349265709909,2342.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
4,1.4508287784959403e-06,0.07542725755034463,-3.5673894807977122e-06,-0.003143492657099089,5790.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
89,0.0039442060594376644,0.07542725757339097,-0.0006835090976819082,-0.003143492657099088,2301.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
77,0.0012915496650148853,0.07542725756375092,-0.00029712403554404813,-0.003143492657099087,2793.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
47,7.924828983539186e-05,0.0754272575502929,-3.757445690735765e-05,-0.0031434926570990847,4024.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
76,0.0011768119524349992,0.07542725749283076,-0.00027701716766018273,-0.0031434926570990786,2834.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
16,4.430621457583877e-06,0.07542725745266095,-5.943927036123587e-06,-0.0031434926570990786,5296.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:16.131632
