,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
87,0.003274549162877735,0.07719189948213497,-0.00030576159769160475,-0.0020709645575329155,2355.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
18,5.336699231206323e-06,0.07719189941404882,-1.156663199887354e-06,-0.0020709645575329124,5194.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
66,0.0004641588833612782,0.07719189941108939,-5.713333811518623e-05,-0.0020709645575329116,3218.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
75,0.0010722672220103253,0.07719189935468652,-0.00011803067497928615,-0.002070964557532908,2848.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
43,5.462277217684348e-05,0.07719189930355289,-8.807454220679433e-06,-0.0020709645575329046,4164.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
50,0.00010476157527896651,0.07719189926329166,-1.5554088876049404e-05,-0.0020709645575329037,3876.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
86,0.0029836472402833404,0.07719189920415208,-0.0002827686678382123,-0.0020709645575328994,2396.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
12,3.0538555088334187e-06,0.07719189905673023,-7.143015009867045e-07,-0.0020709645575328907,5442.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
36,2.848035868435799e-05,0.07719189907221737,-4.987201860495223e-06,-0.0020709645575328903,4452.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
57,0.000200923300256505,0.07719189900074365,-2.749993146986441e-05,-0.0020709645575328877,3588.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
85,0.002718588242732946,0.07719189890280957,-0.00026143319224588516,-0.0020709645575328834,2437.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
30,1.629750834620647e-05,0.07719189889173426,-3.0600430061115736e-06,-0.002070964557532882,4699.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
65,0.0004229242874389499,0.07719189890374736,-5.2687370401254304e-05,-0.0020709645575328816,3259.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
74,0.0009770099572992267,0.07719189889730112,-0.00010892660185502126,-0.00207096455753288,2889.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
21,7.05480231071866e-06,0.07719189875848496,-1.4734466097503585e-06,-0.002070964557532875,5070.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
25,1.023531021899027e-05,0.0771918987038331,-2.0374895912312993e-06,-0.002070964557532873,4905.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
42,4.977023564332114e-05,0.07719189866748083,-8.120611391137989e-06,-0.0020709645575328712,4205.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
49,9.545484566618347e-05,0.07719189865215116,-1.433925902662326e-05,-0.0020709645575328686,3917.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
4,1.4508287784959403e-06,0.07719189866720531,-3.758685955247544e-07,-0.002070964557532865,5774.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
0,1e-06,0.07719189864541579,-2.724349523528564e-07,-0.0020709645575328634,5941.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
84,0.002477076355991714,0.07719189857998028,-0.0002416469628089225,-0.002070964557532863,2478.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
73,0.0008902150854450393,0.07719189843218667,-0.000100515129384683,-0.0020709645575328556,2930.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
56,0.00018307382802953696,0.0771918984307677,-2.534933951609518e-05,-0.0020709645575328547,3629.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
64,0.00038535285937105315,0.07719189839030104,-4.858395738256495e-05,-0.0020709645575328543,3300.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
35,2.5950242113997373e-05,0.07719189836307533,-4.597529590009267e-06,-0.0020709645575328526,4493.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
83,0.0022570197196339213,0.07719189823734154,-0.00022330706180181443,-0.002070964557532844,2519.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
17,4.862601580065354e-06,0.07719189806082818,-1.067201950205684e-06,-0.002070964557532836,5235.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
41,4.534878508128582e-05,0.07719189802502811,-7.487276728394882e-06,-0.0020709645575328335,4246.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
29,1.4849682622544666e-05,0.07719189804035616,-2.8207668788425078e-06,-0.002070964557532833,4740.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.158182
