,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,21,4.197720618084543e-05,2.856468253810028e-06,0.0003059302356563,1.678090939876878e-06,1.0063393723603675e-06,2.525228666910889e-06,5.506518193606947e-06,7.166177197103505e-06,0.0006150371430211,1.6668754342139172e-06,1.6621289633047458e-06,1.562030448825431e-07,0.0352966680413974,0.0635446113012205,0.0778064381929794,0.0920349098483613,0.1116521671918271,0.1333559995374029,0.0004742921320954,0.3885998671913067,-0.0002543131588173,-0.0026496193444798,13294.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477422074044,2.5169075263838843,2.364062929245769,-0.0024926461756123
1,1,1,10,0.0001983300383696,1.3138281479850129e-06,6.082871953062076e-06,0.0058968344750675,0.0002204568070869,3.734377419997279e-06,0.0002344339591005,0.0002896510936439,0.000160353284546,0.0001019342133128,1.7691729153232763e-06,5.533348548365834e-07,0.0352963803588821,0.0635443641040058,0.0778058952420896,0.0920340174762752,0.1116529181005306,0.1333610603007344,0.0004656564598228,0.3886040203439102,-0.0004086081967546,-0.0026496192676081,12027.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477402000964,2.516906409855991,2.364062922026132,-0.0024926461756122
2,2,2,12,9.246435251263134e-06,0.0005202309539798,0.004052133420136,3.3082388471781746e-06,2.0283927253798258e-06,4.443818647082465e-06,1.2210184526232752e-05,0.0078298665196327,0.0005403588492409,1.484685657557458e-05,6.897217777610947e-07,9.15417832782478e-07,0.0352478753040233,0.063455157294089,0.0776968742204415,0.0919052938012136,0.1114912851959149,0.1331554350482144,0.0004885626316206,0.3880304120832599,-0.0004084611023498,-0.0026496191666974,12253.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.112647739286191,2.516922073291464,2.364062918739112,-0.0024926461756122
3,3,3,3,0.0046139324785805,4.004109721800422e-06,0.0001700733566705,0.0019703881500807,0.0020614244744606,7.72569904878395e-05,0.001340893580315,0.009359988615944,4.259906902484162e-06,0.001438993469427,1.5377761416290985e-05,1.3692166621978229e-06,0.0352932001108926,0.0635410771454593,0.0777923723772465,0.0920083607301634,0.1116971058200893,0.1335841056663676,0.0001124533738924,0.3888213683674432,-0.0005041088878263,-0.0026496191046923,8342.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477389190544,2.516853336303068,2.3640629174186425,-0.0024926461756121
4,4,4,61,1.4735135251276718e-06,2.860751085775023e-06,0.0066924290692543,0.0065766308939218,0.0003258310351185,5.330073912010336e-05,0.0027716065893132,1.9424820169169748e-05,3.517388681718764e-06,4.959397883121477e-05,7.157087794033947e-07,5.923236323656479e-07,0.035248060049301,0.0634553473149974,0.0776977954838852,0.0919070642138536,0.1114882865884212,0.1331401843921862,0.0005127861907572,0.3880155972327672,-0.0004933865195982,-0.0026496190980081,11144.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477415819148,2.5169233914830973,2.364062926996086,-0.0024926461756123
5,5,5,42,6.807099320966535e-06,1.4717383387141578e-06,0.0005904178190826,0.0004164967633273,2.146392466927809e-05,3.694184892969048e-06,0.0003139182633723,2.909989821670119e-05,0.0078385485162687,0.0001045108161802,1.6342968661216829e-06,5.092511716540903e-07,0.0352481053694508,0.0634555493499781,0.0776978180367751,0.0919068481685198,0.1114900136016947,0.1331467475673951,0.0005034197408701,0.3880233091916952,-0.0003254152291232,-0.0026496190514577,11946.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477412577431,2.5169205060093582,2.3640629258301424,-0.0024926461756122
6,6,6,91,1.1367906554679018e-06,1.9763306994977667e-06,1.273666626765355e-06,0.0003400406548836,7.932693370207029e-06,0.0099127171561138,0.0003419365312059,0.0001504003233446,0.0022589830281548,0.0007173339679029,1.2218011036875754e-06,9.979016565333318e-07,0.035296416147399,0.0635447463557912,0.0778074280280192,0.0920368678684614,0.1116482573796099,0.1333371295495859,0.0005037738839216,0.388580902923949,-0.0004756979099779,-0.002649618965366,11732.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.112647743854547,2.5169089162229943,2.3640629351700078,-0.0024926461756123
7,7,7,65,4.233706661124855e-06,1.0245825333553311e-06,0.0006700885512881,0.0020952403793715,2.232377568543862e-05,2.4878649127189545e-06,0.0018166803395178,0.0003898301220722,5.155333691236384e-05,2.0746500852563e-06,1.1521230162903544e-06,5.373286573019105e-07,0.0352968389478019,0.0635452636446852,0.0778088337455215,0.0920392997759068,0.1116454142477437,0.1333205994016725,0.0005310187109382,0.3885661068238834,-0.0003710977524054,-0.0026496189295755,12695.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477427784014,2.516910744338319,2.364062931299459,-0.0024926461756123
8,8,8,83,0.0018747679569428,1.210067678443638e-06,0.0002821696537806,0.0019518685484833,0.0002830191999406,1.690641335064178e-05,7.095255988147483e-06,0.0002124528237576,0.0001311929614099,0.0041665290397895,3.2607771653760765e-06,6.748293070759098e-07,0.035247836415371,0.0634554635060625,0.0776970847358222,0.0919053172100631,0.1114933874184455,0.13316262474204,0.0004787748960802,0.3880394858169239,-0.0003522328896529,-0.0026496189284911,10512.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477387527764,2.51691473223044,2.3640629168205933,-0.0024926461756121
9,9,9,31,7.581623210665971e-06,0.0007621960132362,0.0035472543134101,0.0007883053712931,2.1519381400306908e-05,1.7734557689248114e-05,1.0165647343847213e-05,0.0005985064362746,0.005304697022638,0.0003609292676469,8.780455937024533e-07,9.878241538754112e-07,0.0352481807256492,0.0634559117868815,0.0776986872439382,0.0919082954250267,0.111488368619158,0.1331371060162742,0.0005194084026782,0.3880147153346096,-0.0003762325133936,-0.0026496189131296,11981.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:45.147893,0.1126477386942437,2.516922645362515,2.36406291661007,-0.0024926461756121
