,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,38,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,0.001,0.001,1e-06,1e-06,0.001,0.0965084749226125,0.0749633599252844,0.0720682060825745,0.085787347653379,0.075658893158256,0.0871680761969187,0.0752657263443575,0.0905015153776158,0.0725084573256315,0.0991282589753886,0.0618787289685922,0.045459419631612,-3.7258140188692953e-06,-0.0014890750882071,11474.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683638883555,1.2671370492245204,1.267677734393574,-0.0014838345023259
1,1,1,65,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,3.1622776601683795e-05,0.001,0.001,0.001,0.001,0.0964244987584867,0.0749062631567722,0.0719660326435897,0.0856712527842872,0.0755487164344002,0.0870474121995646,0.0751560160224825,0.0903757462691273,0.0724024599915561,0.0990447712818585,0.0618244378186471,0.045405842815098,-1.2194929203587684e-05,-0.0014890750881609,9112.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683611320596,1.2670324341632275,1.267677731614829,-0.0014838345023258
2,2,2,80,0.001,1e-06,1e-06,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,0.001,0.0964376232107896,0.0749087835887211,0.0719993538570344,0.0856734002501615,0.075549340931333,0.0870492982973739,0.0751554363376876,0.0903750160159635,0.0724244727727903,0.0990407199881541,0.0618217832717996,0.0454034517216073,-3.202599677103824e-05,-0.0014890750881344,8251.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683653007228,1.2670305084943865,1.267677735817444,-0.001483834502326
3,3,3,86,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,0.001,3.1622776601683795e-05,0.001,0.001,0.001,0.001,0.0963832589712919,0.0749130968308206,0.071960085514499,0.0857220145904497,0.075587576653213,0.0870485502428588,0.0751885622779152,0.0903769430345011,0.072401785602266,0.0990451806884506,0.0618234352032822,0.0454063248281629,-1.777307179766387e-05,-0.0014890750881225,8157.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683655802399,1.2670526381064475,1.2676777360992375,-0.001483834502326
4,4,4,52,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,1e-06,0.001,0.001,3.1622776601683795e-05,0.0963848507225065,0.0748637276085908,0.0719634737252917,0.085668922706935,0.0755479982595802,0.0870467802029261,0.0751771483626078,0.0903758337587182,0.0724027294356099,0.0990448281915992,0.0618249055333545,0.0454064483379655,-9.548989130395507e-06,-0.0014890750880847,9151.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683601411386,1.267052260918563,1.2676777306158389,-0.0014838345023257
5,5,5,74,0.001,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.0964666716852075,0.0749377294341348,0.0720688368011563,0.0857822406352066,0.0756593351639397,0.087163084014822,0.0752674624132985,0.0904967257809313,0.0724937805876734,0.0991793493804191,0.0618903208495126,0.0454441217377373,-1.1304213286234488e-05,-0.0014890750880495,9001.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683649220564,1.267157379342136,1.267677735435691,-0.001483834502326
6,6,6,30,0.001,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,3.1622776601683795e-05,0.001,0.0965038829890971,0.0749621252463291,0.0720641003562797,0.0857862740465124,0.0756550389998264,0.0871670718890209,0.075262708411612,0.090500658606972,0.0724703442547639,0.0991835938631312,0.0618998422821696,0.0454644366240793,-1.4704936902160127e-05,-0.0014890750879816,9336.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683613871283,1.2671482608856282,1.2676777318719727,-0.0014838345023258
7,7,7,28,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,1e-06,1e-06,0.0963925554724714,0.0748674995324373,0.0719708341098658,0.0856714360748805,0.0755536502902148,0.0870478572629167,0.0751659870267364,0.0903757825684302,0.0724052637534606,0.0990968471941227,0.0618624352968528,0.045405742988496,-2.560865773127681e-05,-0.0014890750879568,9150.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683618895737,1.267071828327744,1.2676777323785118,-0.0014838345023258
8,8,8,71,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,0.001,0.001,0.001,0.001,0.0964793127299261,0.0749157888919382,0.0720842151596917,0.0857703125707016,0.0756767844330991,0.087146778543165,0.0752402153823526,0.0904842119222336,0.0725184452417618,0.0991738910812093,0.0619231360134309,0.0454560399414397,-9.38182070062922e-06,-0.0014890750879049,9521.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683617011856,1.2671683987382685,1.2676777321885904,-0.0014838345023258
9,9,9,49,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,0.001,0.0964538770417833,0.0749708805633957,0.072063176376388,0.0857594814983522,0.0756543774660896,0.0871764534864979,0.0752618471883251,0.0905084385264959,0.0725051640112043,0.0991879804684771,0.0619109732328311,0.0454686447146943,-4.25286397523536e-06,-0.0014890750879021,9143.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:16.245987,0.0786683624880394,1.2671563349207675,1.2676777329818547,-0.0014838345023258
