,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
7,1.917910261672489e-06,0.1126477449003739,-0.00023577547892905616,-0.0024926461756124285,6148.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
44,5.994842503189409e-05,0.11264774482547117,-0.00025041337160716366,-0.002492646175612424,4620.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
90,0.004328761281083062,0.11264774474604342,-0.000738794765267675,-0.002492646175612423,2733.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
29,1.4849682622544666e-05,0.11264774429696411,-0.00023917423417138778,-0.0024926461756124064,5238.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
51,0.0001149756995397738,0.11264774428838796,-0.0002630925794347626,-0.0024926461756124047,4332.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
38,3.4304692863149194e-05,0.11264774411655148,-0.0002441315811010354,-0.0024926461756123986,4867.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
99,0.010000000000000005,0.11264774395985373,-0.0011191360381823201,-0.002492646175612392,2365.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
25,1.023531021899027e-05,0.11264774390058988,-0.00023797149550569115,-0.0024926461756123904,5403.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
91,0.004750810162102803,0.112647743854547,-0.0007723563943344328,-0.0024926461756123895,2692.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
13,3.351602650938834e-06,0.11264774387790713,-0.0002361566593341161,-0.0024926461756123886,5899.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
1,1.0974987654930568e-06,0.11264774385748594,-0.000235556846526235,-0.002492646175612388,6398.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
33,2.1544346900318823e-05,0.11264774362525647,-0.00024090031218226675,-0.00249264617561238,5073.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
43,5.462277217684348e-05,0.1126477430762908,-0.0002491305327170091,-0.002492646175612358,4661.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
68,0.0005590810182512235,0.11264774304888324,-0.00034427638790873006,-0.0024926461756123574,3634.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
50,0.00010476157527896651,0.1126477430530579,-0.0002608117158470598,-0.0024926461756123565,4373.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
69,0.0006135907273413176,0.11264774303494356,-0.00035274575032418756,-0.002492646175612356,3593.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
67,0.0005094138014816386,0.11264774301267377,-0.000336357436319315,-0.002492646175612355,3675.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
70,0.0006734150657750835,0.11264774297359907,-0.0003617991886560453,-0.002492646175612355,3552.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
66,0.0004641588833612782,0.1126477429234773,-0.0003289570913309217,-0.0024926461756123513,3716.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
92,0.005214008287999695,0.11264774289160032,-0.0008079024694229002,-0.002492646175612351,2651.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
71,0.000739072203352579,0.11264774286746572,-0.0003714723455820571,-0.00249264617561235,3511.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
5,1.5922827933410906e-06,0.11264774275019748,-0.00023568874644640014,-0.0024926461756123452,6231.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
65,0.0004229242874389499,0.11264774277840142,-0.0003220452971121394,-0.002492646175612345,3757.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
72,0.0008111308307896872,0.11264774271899763,-0.0003818029616671028,-0.002492646175612345,3470.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
64,0.00038535285937105315,0.1126477425745406,-0.00031559363857065824,-0.002492646175612339,3798.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
18,5.336699231206323e-06,0.1126477425480829,-0.00023668260174672406,-0.0024926461756123374,5692.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
73,0.0008902150854450393,0.11264774253045755,-0.00039283099843673026,-0.0024926461756123366,3429.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
63,0.0003511191734215135,0.1126477423090198,-0.0003095752389932254,-0.0024926461756123288,3839.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:37.508872
