,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime
82,0.001,0.001,0.001,1e-06,1e-06,0.001,1e-06,0.001,1e-06,0.001,1e-06,1e-06,3.891507378831271e-07,3.889825353198928e-07,5.410507672865622e-07,9.655108830111566e-07,1.2687779713417414e-06,6.175388519589667e-06,0.06164658530140482,0.053578686321671024,0.038986416932534906,0.05178467918379105,9.68697223642399e-06,0.29311128290591126,-0.00092679739239967,-0.0029469138772137207,13795.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
12,1e-06,1e-06,1e-06,0.001,1e-06,0.001,1e-06,0.001,1e-06,0.001,1e-06,1e-06,2.2927998894231887e-07,2.1940556951877316e-07,2.4610719159067017e-07,2.2201456553667177e-06,9.281262935937538e-07,6.166025043125594e-06,0.0616457322447855,0.053578641980471055,0.0389862051511198,0.051783930319426734,1.0823679904250792e-05,0.293110445097759,-0.0009238112922488025,-0.0029469138404366138,13671.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
0,1e-06,0.001,0.001,1e-06,1e-06,0.001,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,2.267855669793191e-07,3.867281324810685e-07,5.310543186147871e-07,1.3390266271333695e-06,1.5937326343085134e-06,6.117154303217123e-06,0.061558130553206414,0.053502613637346035,0.038931429765176544,0.05171103153260646,9.770502310690416e-06,0.2926907770903106,-0.0009002677639542656,-0.0029469137860580166,14090.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
35,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,1e-06,0.001,8.065578649990374e-07,2.0339802109220004e-07,2.479937693176917e-07,1.3551336603171506e-06,8.515710093399518e-07,2.14270352907338e-06,0.061563401839725806,0.053503614599863324,0.03893010133980189,0.05170901815700351,1.273143587372048e-05,0.2926904671073652,-0.0008557612236668393,-0.0029469136927051495,11115.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
16,0.001,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,0.001,0.001,5.40398662253886e-07,2.2344336211592193e-07,8.70457731340022e-07,8.215047996881987e-07,3.990416426555169e-06,2.0129441406542244e-06,0.061559342741235236,0.05350340341692056,0.03893116618817741,0.051711333876164875,8.990631616003032e-06,0.29269088146507916,-0.0009757109731709712,-0.002946913594574676,11682.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
54,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,2.11152314380122e-07,2.803342264860856e-07,3.3055329190251374e-07,1.219629242540178e-06,1.0474394556707167e-06,2.8186793593667835e-06,0.06165080849375332,0.0535799749955375,0.038985514749142414,0.051782403033834155,1.3881516634961565e-05,0.29311224571706523,-0.0008887094047930729,-0.0029469135159010825,11398.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
17,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.001,0.001,1e-06,0.001,1e-06,1e-06,2.0432496863762543e-07,3.762313967759786e-07,5.404887860133435e-07,7.854689006778936e-07,7.928108175698093e-07,5.787637976801576e-06,0.061560175631654855,0.05350259005096551,0.038930627206999815,0.05170879339597997,1.3050959514400936e-05,0.29268810427640307,-0.0009586555271331664,-0.0029469133385361516,13472.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
46,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.001,0.001,2.018462985961088e-07,2.586429948412886e-07,2.948450854104383e-07,1.0307816759472025e-06,8.724608224639176e-07,1.5349107306474394e-05,0.061638728749377245,0.05357641928435473,0.038987941856308425,0.05178481897429696,9.96198455450385e-06,0.2931087401564339,-0.0009200108071819317,-0.0029469133177864888,11669.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1e-06,0.001,1e-06,1e-06,1e-06,3.9133771115868613e-07,3.535351699718681e-07,4.525066572575103e-07,1.6905109643273398e-06,1.68530220832856e-06,4.809143380417926e-06,0.06155869208232191,0.053502690108442004,0.038930766301958776,0.05170940029366508,1.191395249076926e-05,0.2926880969271332,-0.00097749813558016,-0.002946913256239871,13875.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
61,0.001,0.001,0.001,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,4.6953099613318376e-07,4.986851353554863e-07,7.188252954547325e-07,1.056762570876166e-06,1.1702284159384726e-06,5.5749831048011234e-06,0.06155929861532442,0.053502851048684005,0.03893110631564388,0.05171002368919877,1.1347265959232603e-05,0.29268978451645133,-0.0009392586172452498,-0.002946913233010667,12671.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:19:24.633657
