,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,46,7.028700048867782e-05,2.962209672630886e-05,0.0007983552844516,1.253634137495745e-06,1.565594029591375e-05,0.0041604535101992,0.0001053504660803,0.0031665318463326,1.1676067911717745e-06,0.0025641495881833,0.0820345201549621,0.1346928798934507,0.0175560877720054,0.1524223908071535,0.0091900089420118,0.1572697944091282,0.0074071027232892,0.1609240409636088,2.140692887897858e-06,0.0710726918573637,-6.628626261844569e-05,-0.0020970010130881,10639.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918967929791,1.0948121513408031,1.0577598336171563,-0.0020709645575327
1,1,1,27,4.890594567689278e-05,0.0001595582838388,0.0003449925317745,1.9059761910276404e-06,1.4743538691957092e-05,0.0002746769159795,2.7488847187739902e-06,0.0050145571365709,1.8032777023884782e-05,0.0005442060003188,0.0825914332427268,0.134384652201425,0.0181512159432887,0.1520489384004571,0.009758641613548,0.1570512039729641,0.0077329140346534,0.1609906427161939,4.653261074094151e-05,0.0711525568272717,-2.321752415746555e-05,-0.0020970003966146,9897.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918962387401,1.0943001862950863,1.0577598337311311,-0.0020709645575327
2,2,2,16,6.320809052019832e-06,0.0001279583613902,0.0010379116570508,0.0086689475310139,0.0002047661443801,6.363237647163958e-05,5.088793448892321e-06,0.0001763802126748,1.3047968995669963e-06,0.0018890346224484,0.0824284594994417,0.1342537676126892,0.0180835821529283,0.1518152316434155,0.0098200411107252,0.1567251551186572,0.0078425292764948,0.1606104670733945,0.0002239484142254,0.0708693980568891,-8.900325272753833e-05,-0.0020969989689539,9691.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918966428326,1.094290201020207,1.0577598336480345,-0.0020709645575327
3,3,3,28,3.0750531415019006e-05,1.1876561311193873e-06,0.0086088486257757,1.6448032989942208e-06,1.6240405076168017e-06,0.0003836462397587,3.632821150231548e-05,0.0029393101112886,4.101938952294075e-06,0.000756874063293,0.0825238642880756,0.1344594936476973,0.0180876726290918,0.1520569829436174,0.009807802965235,0.1569561761383572,0.0078639445905541,0.1608153320028858,0.0002611511841693,0.0709296156060242,-7.605211885953426e-05,-0.0020969986861761,10008.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918971566937,1.094260120262467,1.0577598335423608,-0.0020709645575327
4,4,4,26,0.002443043480326,0.0002403610863372,0.000487508932482,9.44140473912829e-06,1.6118108609224811e-06,0.0059881039668292,3.2685591873527135e-05,0.0059473877608826,0.0084596185496882,0.008183130455708,0.0826779384917731,0.1342900954982604,0.0182670735160073,0.1519207778909853,0.0098970750001429,0.1568953451685432,0.0079078734285093,0.1607840183461004,0.0002833500790075,0.0709094231305559,-0.0001119511610913,-0.0020969984451517,9073.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918952835694,1.094178564770801,1.057759833927553,-0.0020709645575326
5,5,5,12,0.0017039747374153,4.7705284215189976e-05,0.0070143207300507,1.6434966653863312e-06,3.464916209935114e-06,0.0008934588444458,1.6820308136135912e-05,6.38802005017124e-05,9.139889391618136e-06,5.6753903813632175e-05,0.0821630214238112,0.134548292422817,0.0177329721817395,0.152205831618526,0.0094331134498798,0.1570059009129375,0.0076831176055612,0.1606260669666982,0.0003213310729158,0.0707485815525121,-7.275990068472064e-05,-0.0020969983407949,12189.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918990567302,1.094606443911474,1.0577598331516334,-0.0020709645575328
6,6,6,21,1.5783146148066134e-05,0.000149167008408,0.0020907157856268,7.676857219465147e-06,0.0009580987689903,9.28867779317603e-05,0.0022593899595206,0.0003748052198109,4.305272857580541e-06,0.0006910976415595,0.0821918726498188,0.1345159189456513,0.0177716357903959,0.1521611875113431,0.0094800869211944,0.1569616827794843,0.0077224089326837,0.1605931882577724,0.0003493837297264,0.0707215007049466,-8.367194730389603e-05,-0.0020969981006126,13617.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918987584849,1.0945669990505125,1.0577598332129658,-0.0020709645575328
7,7,7,37,0.0014314696427127,0.0013515982582022,8.614866971763255e-05,0.0006092329486853,0.0030474789935497,0.0027215017833022,2.56310712647405e-06,0.0003417813465452,2.1169740039711216e-05,3.287672042045462e-06,0.0821939265697898,0.1345136836863713,0.0177743606124154,0.1521580979410758,0.0094833895796315,0.156958632800148,0.0077251595744301,0.1605909512590995,0.0003513262947582,0.07071965043304,-0.0001399698175376,-0.0020969980839536,11028.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918953617359,1.0945642187482918,1.05775983391148,-0.0020709645575326
8,8,8,4,0.0003399592662573,0.000221508179758,0.0047982103511199,0.0001659871288481,8.516046976917829e-05,8.434972923096208e-06,0.0059186260922741,0.0089387274826875,9.748085815397672e-05,0.0045188780424561,0.0822113388251505,0.1344944654538594,0.0177975515921226,0.1521316162973865,0.009511439964136,0.1569326030520394,0.007748343516799,0.1605720436194205,0.0003674157985271,0.0707042784433236,-0.0001506189336899,-0.0020969979456927,13477.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.0771918986672053,1.0945406430767646,1.0577598332317364,-0.0020709645575328
9,9,9,81,6.818149698381038e-05,1.4637195418043662e-05,3.561238931463939e-06,0.0049129927686795,0.0003921674690219,4.406698581082697e-06,0.0026104715244035,1.002536277499982e-05,1.125686690508099e-05,6.966501062344936e-05,0.0823246195724748,0.1346804061962269,0.0178268921861447,0.1523434173346028,0.0095309652184935,0.157152065713528,0.0077644505265001,0.1607988256896146,0.0003716479795142,0.070800102313498,-7.439015253162407e-05,-0.0020969979103252,12778.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,5.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:08:37.565951,0.07719189749864,1.094487153865732,1.0577598334720426,-0.0020709645575328
