,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,37,3.07720959376114e-06,1.1187807802656152e-05,4.953053280411873e-06,0.0003944710854843,0.0001643166177688,0.0015915849526296,0.0002408339103545,0.0001089909613414,0.090347787135578,0.0821569017439676,0.0629077934170877,0.095879794768468,0.0640675860187306,0.1042332846865673,0.051902811123111,0.0515242165990317,-2.32760228496959e-05,-0.0031582430351105,9917.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.07542725627657,1.204910924134084,1.2071324572635338,-0.003143492657099
1,1,1,0,4.154641965902796e-05,0.0004221271623219,0.0003837769621065,1.5653871696623004e-06,0.0028552210990832,1.2187831598612624e-05,0.0001923651564936,0.000957882167884,0.0903475314932392,0.082156862133427,0.06290748793286,0.095879635250935,0.0640673009884014,0.1042331219238231,0.0519026440470711,0.0515242106021991,-0.0001379987758431,-0.0031582430351103,8491.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272568928538,1.2049108031175109,1.2071324577186602,-0.003143492657099
2,2,2,48,3.4434604614933954e-05,6.132059780596971e-05,0.0002226150475642,5.859004775299021e-06,5.390735771899756e-05,0.0033996574686636,4.775352045210503e-05,1.4603852007815446e-05,0.0904739340656454,0.0822738232022598,0.0629977483713206,0.096017445163242,0.064159662091645,0.1043832355527055,0.0519773498403928,0.0515971318262734,-5.20801541589604e-05,-0.00315824303511,9451.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272576724285,1.2049842038362364,1.2071324582943763,-0.003143492657099
3,3,3,15,0.0021451578582478,0.0015900142560711,0.0007384352649221,0.0002531497895062,6.484966953382163e-05,0.0001470727470166,0.0081827645797501,1.298308454463887e-05,0.0903478911119787,0.0821567968277913,0.0629079320110358,0.0958797023427673,0.0640677336639073,0.1042332252376115,0.0519029762848377,0.0515240755419714,-0.0002014575550908,-0.0031582430351094,8848.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272571668235,1.2049109347707632,1.2071324579209874,-0.003143492657099
4,4,4,39,0.0015096433139906,0.0011885677541469,0.0090351774959069,2.9659308498750264e-06,7.8590522479525e-06,0.0001509838394807,0.0001762329315171,4.4331210601827504e-06,0.0904740817236808,0.0822742227486738,0.0629978177500863,0.0960179535278657,0.0641597467504739,0.1043837074933056,0.0519772922908518,0.0515974197016243,-0.0003719297663617,-0.0031582430351079,8744.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.075427256520256,1.2049844019625082,1.2071324574434956,-0.003143492657099
5,5,5,38,2.8026806335248868e-05,8.626271220610698e-06,0.0003318155786876,1.5554510400708782e-05,0.0017020877154816,1.3375525817115004e-06,1.8154134887511577e-05,3.984218114012271e-05,0.0903474987540098,0.082156305210878,0.0629081720849758,0.0958795751045516,0.0640681113926804,0.1042328885674726,0.0519032561987214,0.051523478051785,-6.032053853702826e-05,-0.0031582430351076,9129.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272563960251,1.2049111127932777,1.207132457351752,-0.003143492657099
6,6,6,16,5.659147580645886e-06,3.073231737509614e-05,1.582058189323817e-05,2.979145642869534e-06,2.591463211985444e-06,0.0024507265932509,0.004791817824097,0.0034848080410518,0.0904737946950859,0.082273886600813,0.0629975704234285,0.0960174918643413,0.0641594981769843,0.1043832698595803,0.0519771683992829,0.0515972312843139,-1.93811409295528e-05,-0.0031582430351073,10105.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272574526609,1.2049841838418105,1.207132458132078,-0.003143492657099
7,7,7,6,5.357340868725934e-06,9.476192290654732e-05,0.0027541081377368,0.0030911857468819,3.3109630294992886e-05,1.0611620439575378e-05,3.489817540533344e-05,1.7753421852842888e-05,0.0903479609296519,0.0821570382153745,0.0629079245772193,0.0958799566677216,0.0640677188130816,0.1042334634419163,0.0519029251595248,0.0515242919442909,-0.0002828017706599,-0.0031582430351029,9693.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272558447999,1.204911014749099,1.2071324569446702,-0.0031434926570989
8,8,8,62,2.5618017889999392e-06,1.069482355400068e-05,3.631239818566556e-05,0.0001097509780024,0.0017378874514883,7.046594814230156e-06,0.0012953072239876,0.0025085879046557,0.0904745917603281,0.0822744390385107,0.0629980676385531,0.0960179625333716,0.0641599171965495,0.1043837248107967,0.0519775016223809,0.0515973423276643,-2.6250226239771178e-05,-0.0031582430350987,9231.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272560397368,1.204984256579512,1.2071324570886333,-0.0031434926570989
9,9,9,40,2.0601130675492835e-05,3.578249282420196e-05,0.0005136772078618,7.738519318259166e-06,0.0011622305367748,0.0017256865947505,0.0001442536456277,1.7623711843937125e-05,0.0903486765758696,0.0821542232830684,0.0629374982507723,0.0958779803347704,0.0640687732203195,0.1042328323141228,0.0519038236727973,0.0515235687614139,-8.004026379393457e-05,-0.0031582430350932,8430.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:01:51.007351,0.0754272566479724,1.2049029197423993,1.2071324575378142,-0.003143492657099
