,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
9,1.873817422860387e-06,0.04390785982079278,-0.0008087162045728269,-0.0026278336903879235,5674.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
24,5.336699231206313e-06,0.043907859795320865,-0.0008097278071064076,-0.0026278336903879204,5208.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
25,5.72236765935022e-06,0.043907859785446805,-0.0008098403510317164,-0.0026278336903879183,5177.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
23,4.977023564332114e-06,0.04390785977668509,-0.0008096228265628436,-0.0026278336903879165,5239.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
26,6.1359072734131755e-06,0.0439078597489011,-0.0008099610014566387,-0.0026278336903879157,5146.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
22,4.641588833612773e-06,0.043907859727558465,-0.0008095249024691357,-0.0026278336903879144,5270.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
89,0.0004977023564332114,0.043907859752675193,-0.0009379447422656443,-0.002627833690387913,3199.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
94,0.0007054802310718653,0.04390785971837175,-0.0009851329772733878,-0.0026278336903879126,3045.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
47,2.656087782946684e-05,0.043907859714817074,-0.000815885988471765,-0.0026278336903879113,4496.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
4,1.3219411484660288e-06,0.04390785968364177,-0.0008085548062530985,-0.0026278336903879083,5830.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
59,6.135907273413175e-05,0.04390785968646321,-0.0008258316756768521,-0.0026278336903879083,4125.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
27,6.579332246575683e-06,0.04390785968738899,-0.0008100903402337129,-0.002627833690387906,5115.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
21,4.328761281083061e-06,0.04390785964580716,-0.0008094335616945514,-0.002627833690387905,5301.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
28,7.0548023107186455e-06,0.0439078596024921,-0.0008102289906732438,-0.0026278336903878996,5084.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
20,4.037017258596549e-06,0.043907859529132155,-0.0008093483626784514,-0.002627833690387894,5332.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
69,0.0001232846739442067,0.04390785950678315,-0.0008430958140241741,-0.0026278336903878922,3816.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
29,7.564633275546291e-06,0.04390785949567623,-0.0008103776204520264,-0.0026278336903878888,5053.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
77,0.00021544346900318823,0.04390785947464135,-0.0008678529901519588,-0.0026278336903878844,3569.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
19,3.7649358067924635e-06,0.04390785937505731,-0.0008092688933435644,-0.0026278336903878784,5363.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
30,8.111308307896873e-06,0.04390785936829907,-0.0008105369447194152,-0.0026278336903878766,5022.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
48,2.8480358684358048e-05,0.04390785936211873,-0.0008164394196289462,-0.002627833690387876,4465.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
60,6.579332246575683e-05,0.04390785923670472,-0.0008270860075144555,-0.002627833690387866,4094.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
31,8.697490026177835e-06,0.04390785922065611,-0.000810707729413314,-0.0026278336903878593,4991.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:11.906603
