,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
10,10,10,79,2.322000849827484e-05,6.952318880481453e-06,9.087942353854717e-05,0.0004927078657964,0.0013765374850793,0.0022935569572304,5.410565225079951e-06,0.0019484545048001,0.0809580014458833,0.1359846296613249,0.0159022375472501,0.1537824710090319,0.0086464600476034,0.159770176655327,8.69101843772185e-05,0.0691022640806463,-3.0977657846207465e-05,-0.0031784208925167,9837.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447574835289,1.0854132943422,1.059554123509507,-0.0031302519043233
11,11,11,65,6.15484245578094e-06,3.3439939522725646e-05,0.0004479429403758,0.0024655546354479,2.591331822483706e-05,0.0022696881579385,0.000240230655028,0.0001771004758223,0.0810298960875856,0.1362258271967226,0.0158689430192168,0.1540515772041552,0.0086227767617703,0.1600166920061413,8.769515371916661e-05,0.0691968876721377,-9.429192878265846e-05,-0.0031784208793454,10251.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447577335965,1.0853690845776576,1.0595541234209165,-0.0031302519043233
12,12,12,71,0.0005023498075491,0.0001342818132348,0.0001498623587028,2.0552066309069783e-05,2.782849843991248e-05,1.8455087594705665e-06,0.0011475921332658,0.0027068230838348,0.0809144435338183,0.1360331013981797,0.0158436203672541,0.1538322509295786,0.0086085612950824,0.159785815553187,8.883232821283555e-05,0.0690966499775252,-3.748415121857843e-05,-0.0031784208511656,14686.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447559100101,1.0854520785929127,1.0595541240669468,-0.0031302519043232
13,13,13,85,1.2879280116160249e-06,1.361164697194079e-05,1.915103713247313e-05,0.0038416442388025,0.0001074351110329,0.0002218542917774,3.044818884438488e-05,0.0093966663109304,0.0810390665808488,0.136216240402387,0.0158791213117054,0.154040074613135,0.0086321415711681,0.1600110183075935,8.885871913506925e-05,0.069196080871014,-7.049931365397102e-05,-0.0031784208498059,9967.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447582344355,1.0853620065646437,1.0595541232434886,-0.0031302519043233
14,14,14,13,0.0064833845635135,2.213631652498271e-05,0.0002050387723366,4.6254597182336005e-06,0.0001378684708749,9.203641934579962e-06,2.046129928653693e-05,0.0068467146765111,0.0809183376106934,0.1360289664914075,0.0158487394626278,0.153826648837311,0.0086143967494495,0.159780692180085,9.373098701429576e-05,0.069091869854344,-7.414401841396247e-05,-0.0031784207301578,14221.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447577711046,1.0854475946875288,1.05955412340763,-0.0031302519043233
15,15,15,16,1.030605597097802e-06,0.0001987713057029,0.0004315079709962,0.0001022291792665,9.225992399082112e-06,0.0056276472845496,0.0004148776846381,0.0054006033001487,0.0810566263810032,0.1361964500686496,0.0159000704072599,0.1540177989496983,0.0086512017399217,0.1599982613988035,9.66355675826852e-05,0.0691892536820904,-7.78035679112628e-05,-0.0031784206561633,9973.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447565635258,1.0853485031719434,1.0595541238354294,-0.0031302519043232
16,16,16,48,4.198767535668579e-05,1.154554853101376e-05,0.001008920030506,0.0001405939160943,0.0086893574074821,3.313037062254826e-05,0.0009581302379445,0.0007135259730161,0.080922126035832,0.1360244374435998,0.0158539216672487,0.1538205963597113,0.0086203074149455,0.1597751150161311,9.871693641081932e-05,0.0690868450960312,-0.0001310437299611,-0.0031784206069835,13890.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447561536149,1.085443165546318,1.0595541239806463,-0.0031302519043232
17,17,17,59,0.0019173590610313,2.0389601428463164e-05,5.274474875185286e-06,0.0074267223541286,2.660753210146924e-06,0.0001365909374953,0.000627896582631,2.50654213778152e-06,0.0809231103679594,0.1360237084371915,0.0158550888989914,0.1538195647821677,0.0086216302566124,0.1597741827953116,9.984254048300072e-05,0.0690858429531481,-0.0003236206066655,-0.0031784205791812,12883.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447562205698,1.0854420801082558,1.0595541239569268,-0.0031302519043232
18,18,18,34,1.2819158735741576e-05,0.0024791829290061,2.158414524145214e-05,0.0008529731263464,1.2858436857153768e-05,0.0012086017680755,6.236931909180564e-05,0.0001050624515284,0.0809235782065987,0.1360230135545083,0.0158557968896394,0.1538185908329152,0.0086225546161384,0.1597730923969661,0.0001008576742552,0.0690847603506122,-0.0001561897015118,-0.0031784205541249,10080.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447583850772,1.085441442800009,1.0595541231901218,-0.0031302519043233
19,19,19,61,0.0005159393645326,1.1737698023485072e-05,5.332458046492173e-05,0.0058117928065417,0.0008310362098705,7.963809223213464e-06,3.962636139305221e-06,2.7187619724097352e-05,0.080923840137465,0.1360226768773882,0.0158561479119683,0.1538182077078517,0.008622840584825,0.159772919166292,0.000100872412816,0.0690847565615159,-0.000200686409248,-0.0031784205537377,12434.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447567465435,1.0854412089287253,1.059554123770593,-0.0031302519043232
20,20,20,89,0.0038130949336952,1.0393126126715169e-06,0.0008294517349779,2.292034952566034e-05,0.0015186758824416,2.77062855534709e-06,0.0015898160920697,0.0023547472277062,0.0809248075602518,0.136021908570233,0.0158573122698134,0.1538171444761914,0.008624137337468,0.1597719930097561,0.0001019276528255,0.0690838114715069,-0.0001528576142824,-0.0031784205276662,14976.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447583918123,1.085440150509928,1.0595541231877377,-0.0031302519043233
21,21,21,72,0.0003304536366239,1.1190404220925108e-05,0.003370786725419,0.0001024549459002,2.2850537690103883e-06,0.0015646595357403,0.0002432515006349,2.429741566675844e-05,0.0809260140563984,0.1360202153778185,0.0158590504916672,0.1538149469196376,0.0086260669642878,0.1597700380256486,0.0001034553987749,0.0690822045115918,-0.0001850132203987,-0.00317842048991,11038.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447561290915,1.0854387485218544,1.059554123989333,-0.0031302519043232
22,22,22,18,2.8738445499608444e-05,8.514400949185637e-05,0.0052915030249273,1.2561591316967009e-05,0.0001743113918826,4.008347985410372e-05,0.0001460906834716,0.0010449960873214,0.0809296960662172,0.136016943361615,0.0158636328162994,0.1538104267183111,0.0086312769506764,0.1597659068108591,0.0001078929669854,0.0690780638260511,-0.0001991165862553,-0.003178420380278,12999.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447577955328,1.0854346100980512,1.0595541233989758,-0.0031302519043233
23,23,23,83,0.0001322949000459,5.709180849320342e-05,0.0001899805516143,7.503436615600323e-06,0.0002210180542751,0.0048032987810722,2.631485386046836e-06,3.282256824664771e-05,0.0809307705404354,0.1360159033739181,0.0158649571009608,0.153809191088946,0.0086324479848672,0.1597653085704934,0.0001082214093816,0.069077858197325,-4.7034448269955305e-05,-0.0031784203720861,11237.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447580421008,1.0854336088743752,1.059554123311626,-0.0031302519043233
24,24,24,7,0.0003335365664248,0.0008063853962133,0.0004164501865121,2.625992109546e-06,1.88549308188038e-05,0.0013390011417841,0.0001730840543362,1.0260081498670102e-05,0.0809307526800684,0.1360158590144159,0.0158650035068966,0.153808960798653,0.0086328260692678,0.1597645776442848,0.0001091873818793,0.0690768130661116,-8.978089202567984e-05,-0.0031784203482941,12628.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447565657972,1.0854334105664794,1.059554123834625,-0.0031302519043232
