,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
10,10,10,80,0.0001304078567363,0.0003349123335076,2.9147611243706035e-05,1.5404259426849466e-05,1.0186115410403125e-05,0.0017373547118126,0.0071191025513154,9.257116595537748e-05,7.029933816777843e-06,0.0004145124407704,0.0945807582050417,0.0771299772628139,0.0692591023575822,0.0892267228394696,0.0714846130533719,0.0917883709760861,0.0698391448714845,0.1007579714624156,0.0587077382742628,0.0471301524047078,-5.061542844654875e-05,-0.002092530546751,7927.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844874100833,1.2411353937691283,1.2418975180736904,-0.0020841545216717
11,11,11,31,0.0076863353647916,0.0011063906010142,2.7385710500164936e-06,2.0862136911904408e-06,4.27432177119311e-06,1.97992463180036e-06,1.414425973647945e-05,0.0002132076119552,0.0044550143421539,6.483259467371289e-05,0.0945154154450845,0.0770685802526165,0.0692037941497054,0.0891246908005933,0.0714041360276993,0.0916533586806235,0.0697427816695596,0.1006128052166967,0.0586283363608448,0.0470781936454319,-1.639858546699361e-05,-0.0020925305467426,9659.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844899588729,1.2410207636784227,1.2418975203611364,-0.0020841545216718
12,12,12,0,0.0003184343986267,0.001916565042117,4.166558810580133e-06,0.0016369085820042,0.0018321104080741,4.6266372320265065e-06,1.528706147605642e-05,1.2666927476238954e-06,0.0001069734982894,1.640224504895623e-06,0.0945159202910678,0.0770695911866809,0.0692035004210014,0.0891259692938372,0.0713851192450112,0.0916531107077773,0.0697410929954185,0.1006103842882701,0.0586262525846149,0.047078660529736,-0.0001048164982508,-0.0020925305467397,9960.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.077384489861339,1.241017692511419,1.2418975202736042,-0.0020841545216718
13,13,13,91,0.0005029356790049,4.117356713551993e-06,0.0017458720677882,0.0001164207235095,0.0006045070250946,0.0060517585991132,7.338615610745275e-06,1.3444490928220333e-05,0.0002061876838428,0.0006086275046497,0.0945158416107374,0.0770676331291343,0.0692022342845677,0.0891260492721362,0.0713871062593744,0.0916551640061412,0.0697427667946454,0.1006111119351036,0.0586450127386139,0.0470985446626502,-0.0001468918998398,-0.002092530546736,8038.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844895228306,1.24102812487731,1.2418975199698032,-0.0020841545216718
14,14,14,94,2.460081619107585e-05,2.504842205242037e-05,2.5957312966655714e-06,1.4913287884058214e-05,0.0038497906213947,6.267302758589502e-05,0.001140194051987,3.83401245504922e-06,0.0016660611118674,0.0004186169146053,0.0945862220281624,0.0771274183780948,0.0693047060994853,0.0892509804708787,0.0714903121622431,0.0917826405778153,0.0698425270100148,0.1007529520178329,0.0587115863613497,0.0471363349877798,-3.7050434722627856e-05,-0.0020925305467161,8420.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844894702289,1.241138305943846,1.241897519922596,-0.0020841545216718
15,15,15,5,1.0773491883865142e-06,0.0001283080608923,1.2714394333493249e-06,5.598398614799338e-06,4.702237190909962e-05,4.349883651344885e-05,0.0080461745868491,5.73719843229688e-05,0.0003249061962294,0.0088610719022653,0.0945485059496293,0.0771155389435708,0.0692011843770302,0.0891242599090764,0.0714045357714781,0.0916533942832153,0.0697419779353501,0.1006129248348191,0.0586276885705998,0.0470785424393961,-2.156434066144625e-05,-0.0020925305467141,8777.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844900220603,1.2409963838013502,1.2418975204178444,-0.0020841545216718
16,16,16,62,2.254003494878612e-06,0.0048946379606455,1.4979058944431171e-06,9.179782860967488e-06,0.0010904580045725,0.0073722963902188,0.0005918442514339,0.0039643720570331,0.0002364436742265,3.699058689696341e-05,0.0945847994149159,0.077177668039813,0.0692974939766036,0.0892543739721955,0.0714839017138913,0.0917860332943468,0.0698388047983881,0.1007566021572245,0.0587081424651809,0.0471448310550564,-0.000210862779456,-0.0020925305466877,8711.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844900315492,1.2411193454936769,1.2418975204263605,-0.0020841545216718
17,17,17,82,1.3742197683597377e-06,0.003539985485746,9.353396271074293e-05,1.0803163155201507e-06,1.2893536775567805e-05,0.0022680623926908,0.0022174037041054,3.107635130753105e-05,0.0001817473255776,7.163111272818744e-05,0.0945747092036202,0.0771872461369508,0.0692872763930951,0.0892639618907254,0.0714752385922716,0.0917949196447213,0.0698329320737392,0.1007648200418059,0.0587018928108469,0.0471537804353797,-9.99920244634546e-05,-0.0020925305466684,8677.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844879698549,1.2411225596682507,1.241897518576064,-0.0020841545216717
18,18,18,24,0.0002961475986676,0.0008814509790469,1.5374203057908306e-06,1.850767593689109e-05,6.430247982976886e-05,2.6331989621789826e-06,0.000694128400693,4.828675118504912e-06,1.0831958941313005e-06,0.0039378403104439,0.0945166930933677,0.0770707857193307,0.0692041917498204,0.089127832199018,0.0713862998501205,0.0916552683589282,0.0697423714567533,0.1006127655020311,0.0586275178571544,0.0470781280387676,-2.143666962257267e-05,-0.0020925305466507,9037.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844905413597,1.2410193245649468,1.241897520883899,-0.0020841545216719
19,19,19,79,0.0084407080096698,3.17682644689123e-05,0.0003230765214771,5.467866571435963e-06,4.0261761042094495e-06,0.0015249418979747,0.002387894913829,2.215289781060317e-06,2.445205086047349e-05,1.9409966336708527e-06,0.0946392096827631,0.0771740378269429,0.0692992379999734,0.0892503341479899,0.0714863050409003,0.0917830387545015,0.0698417085581045,0.1007545965672689,0.0586968402525438,0.0471416070343555,-7.572327316250805e-05,-0.0020925305466368,9070.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844871111816,1.2411089849832444,1.241897517805435,-0.0020841545216717
