,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,50,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,0.0840687017091075,0.132740546086043,0.0201651303435513,0.1494720656648794,0.0127735622463906,0.1544105758688155,0.009454882245684,0.1576338538599661,0.0076079634350838,0.1613137931776762,3.074741934608586e-05,0.0724589464822262,-1.3836271951841876e-05,-0.0014871919798692,11214.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305238804033,1.09866296631821,1.0570587733460683,-0.0014715280018764
1,1,1,55,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,3.1622776601683795e-05,1e-06,0.001,1e-06,3.1622776601683795e-05,0.084121220855011,0.132383140415262,0.0203456280840405,0.1490315486682461,0.0129898720593761,0.1539840487562642,0.009618182130506,0.157281135148541,0.0076751571187035,0.1610632439874333,4.044222930791516e-06,0.0723945295382718,-8.339906655377478e-06,-0.0014871918788914,10395.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305267069582,1.098498671703864,1.057058773005833,-0.0014715280018766
2,2,2,29,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,1e-06,3.1622776601683795e-05,0.001,1e-06,0.001,0.0842755532026807,0.1325089723135693,0.0204435242364563,0.1491522822064388,0.0131122946619626,0.1540817204602625,0.0097654556160455,0.157374605108325,0.0077962618765341,0.1612448597197965,1.455457593789494e-06,0.0725101430678971,-7.586962421695109e-06,-0.0014871917621322,10804.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305231438901,1.0983683637085455,1.057058773434723,-0.0014715280018764
3,3,3,44,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,1e-06,0.001,0.001,0.001,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,0.001,0.0840235847230828,0.1327871900740272,0.0201186480293791,0.149513824341694,0.0127472545344363,0.154396056759491,0.0095276540251984,0.1574693897225961,0.0078279578563366,0.1611320205068043,0.0001656390246388,0.0723371499834091,-8.706640163692161e-06,-0.0014871916768752,9701.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305268406737,1.0986392891494348,1.0570587729897374,-0.0014715280018766
4,4,4,92,0.001,0.001,0.001,1e-06,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,0.001,1e-06,0.001,0.0843955085813901,0.1323767046113936,0.020598717313796,0.1489883595172265,0.0132664043352873,0.1539705728212148,0.0098354695073321,0.1573357807253029,0.0078137587891913,0.1612346891346494,8.783534636998732e-06,0.0725031638183821,-4.139939935470439e-05,-0.0014871916698952,10164.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305220218733,1.0982555812176058,1.0570587735697805,-0.0014715280018763
5,5,5,85,0.001,1e-06,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,1e-06,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,0.0843389798638078,0.1321355172774252,0.0206149389998886,0.1488627211831796,0.013059479903041,0.1539803281160149,0.009585156441013,0.1572849999969079,0.0077144645796861,0.1609482769769504,0.0001827582928043,0.0722026570217792,-3.914927976388026e-06,-0.0014871915606029,10561.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305220963751,1.098437016243101,1.057058773560811,-0.0014715280018763
6,6,6,61,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,1e-06,3.1622776601683795e-05,0.0837821014863876,0.1330642201069673,0.019776014012098,0.1499208462990402,0.012304662088357,0.1548385818962778,0.0090967511111133,0.1578490784374,0.0075586121890393,0.1611491105113666,0.0003766813957276,0.0720779872911948,-3.478265170196661e-05,-0.0014871915580754,8993.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305227703561,1.0990480461970369,1.057058773479684,-0.0014715280018763
7,7,7,70,0.001,0.001,1e-06,0.001,1e-06,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,0.001,1e-06,0.001,0.0813293839560566,0.135498686074683,0.0166106919482586,0.1532967847605763,0.0085283782966287,0.1581270630147603,0.0059216654163887,0.1601490625954988,0.0057251367442049,0.161915159542325,8.130902855485715e-06,0.0722078778387466,-2.8387819202010763e-05,-0.0014871908803257,14797.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305222018232,1.10240209626072,1.0570587735481214,-0.0014715280018763
8,8,8,20,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,0.001,1e-06,0.001,3.1622776601683795e-05,0.001,0.001,3.1622776601683795e-05,0.083642265371749,0.1329125447672011,0.0197278485991571,0.1496817025833112,0.0123772956777491,0.1544125353838573,0.0094033650321464,0.1571540738458288,0.0081531476644826,0.1601385934512364,0.0013103800328225,0.0710147705268763,-1.984873536794745e-05,-0.001487189596845,9390.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.078230523796122,1.0989248845014723,1.057058773356212,-0.0014715280018764
9,9,9,27,0.001,3.1622776601683795e-05,0.001,0.001,1e-06,0.001,3.1622776601683795e-05,1e-06,1e-06,1e-06,0.001,0.001,0.0814290955754107,0.1353849461357863,0.0167571541919555,0.1530917839886493,0.0088002191459859,0.1577427996872594,0.0064104462922848,0.1595832257191199,0.0063356203974733,0.161284524016798,0.0006658396680874,0.0715495511717351,-2.1164358890685524e-05,-0.0014871892784472,13453.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:03:38.746890,0.0782305225476419,1.102097021069442,1.0570587735064938,-0.0014715280018763
