,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
1,1.0974987654930568e-06,0.07957416072447747,-1.3749903294129137e-07,-0.0011105324316526752,5889.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
75,0.0010722672220103253,0.07957416069190484,-5.375088517706931e-05,-0.0011105324316526741,2826.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
26,1.1233240329780288e-05,0.07957416068178094,-9.691214508612238e-07,-0.0011105324316526737,4844.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
11,2.782559402207126e-06,0.0795741606506885,-2.9590262130549675e-07,-0.0011105324316526726,5467.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
97,0.008302175681319761,0.07957416064429311,-0.0003164503274110752,-0.0011105324316526722,1922.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
98,0.009111627561154906,0.07957416065755098,-0.00034164688633997865,-0.0011105324316526717,1881.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
99,0.010000000000000005,0.07957416053652708,-0.00036857941146242214,-0.0011105324316526672,1840.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
96,0.007564633275546291,0.07957416051413556,-0.0002929215168109528,-0.0011105324316526635,1963.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
42,4.977023564332114e-05,0.07957416044144859,-3.546076354708683e-06,-0.0011105324316526602,4184.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
83,0.0022570197196339213,0.07957416040349789,-0.00010354573908607668,-0.0011105324316526563,2497.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666667,-1.0,-1.0833333333333335,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-1.1666666666666667,0 days 00:02:19.470534
