,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,65,1.7040207104121566e-06,0.0036041267235419,1.1080146055028471e-05,0.0035914783407747,1.3030096988090838e-06,0.0068281694929209,0.0018075620926952,2.5963846939388456e-05,1.6688248117199322e-06,1.2339969436172365e-05,1.2598418339038109e-06,6.371155630105501e-05,0.0003128266571607,2.31342257704566e-05,1.3467017505957294e-06,1.8783217809283457e-06,0.0267791961097028,0.0631247320528439,0.0739165756955417,0.0870990259170473,0.0983501574631209,0.1078503434864303,0.1161078474094917,0.1246639653651419,0.1382405458615128,0.1473253467205411,0.0049375593333429,0.4060181159694727,-0.0001355394255352,-0.001533142167227,15209.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637248028382,3.117051058681302,3.079180555943196,-0.0014620286707185
1,1,1,43,5.501303293325199e-06,1.6034461178872446e-06,0.0072950439229584,0.0001070705861292,7.17782344344294e-06,1.3024267511277787e-05,0.0080974904297798,6.587015108213989e-06,8.446224180360485e-05,0.0091748107418081,0.0042477557352718,0.000977446344858,0.0027107056615754,0.0003378914129139,2.1819156015068213e-06,6.472810762019155e-07,0.0267816084001275,0.0631259213731048,0.0739666930300961,0.0871002404649634,0.098352535953506,0.1078606441802134,0.1161342979549647,0.1246917242001184,0.1381634943510578,0.1470526972497005,0.0053730878209668,0.4057721657073186,-0.0002289555709901,-0.0015331421151101,8953.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637291946261,3.117041025503448,3.07918057616247,-0.0014620286707186
2,2,2,42,6.161254200982292e-05,3.195274318802958e-05,0.0001494856764657,7.519123796058766e-06,3.599971281525809e-06,1.4288532985161552e-05,9.24728153187156e-06,4.284962068863316e-05,1.3490499651625687e-06,1.5348368807174192e-05,0.0004699874434989,2.3542024231634564e-06,1.9655628191302497e-06,1.426218143876769e-05,8.233170452465707e-06,9.669832678177449e-07,0.0267478411405715,0.063041820193981,0.0738677408933613,0.0869833784503795,0.0982190641211855,0.1077086073966758,0.1159603457467182,0.1245038762515476,0.1380178810453668,0.1470078711684012,0.0051104417284035,0.4053412950034886,-5.5400864435750775e-05,-0.0015331419940933,10249.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.127463728995664,3.116834054284332,3.0791805752464683,-0.0014620286707186
3,3,3,55,5.382096383431689e-06,9.417710315786207e-06,0.0001947489754945,0.0006995773794355,0.0067720824934547,6.4306289007021066e-06,0.0009852588663989,0.0003198009949238,2.374807797365988e-06,1.5194878275976868e-06,6.37735832919761e-05,0.00050747807312,0.003521637022334,5.353177340895175e-06,3.4694822431976446e-06,2.21981385188116e-06,0.0267485671180445,0.0630423167094454,0.0738679999954108,0.0869833661183734,0.0982193648998153,0.1077111908166667,0.1159674543491198,0.1245115319388493,0.1379964263945144,0.1469321859119703,0.005232098975821,0.4052725357934401,-0.0001265414802116,-0.0015331419741181,10062.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637270639274,3.1168473617470056,3.07918056635298,-0.0014620286707185
4,4,4,52,1.0435100038284984e-06,0.0008970414135819,0.0084524570579472,1.7920089742037753e-05,2.9316683104064634e-06,1.4543075581932388e-05,0.0008505712011064,6.100143820004673e-05,4.457012887928445e-05,3.5334356005210573e-06,0.00269604301509,0.0053158480998454,7.603109607224886e-05,6.807293724688448e-06,6.214632316557633e-07,2.779571965306295e-06,0.0267806525690933,0.0631256657992657,0.0739661983958949,0.0870996187758365,0.0983516084975231,0.1078583907912498,0.1161294459188811,0.1246866288281608,0.1381749782855162,0.1470952593429524,0.0053034402247047,0.4058090494121131,-0.0001084096397325,-0.0015331419736414,10338.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637278975365,3.117037901718903,3.079180570190814,-0.0014620286707186
5,5,5,3,1.226986203191711e-06,0.0003395466639926,0.0051547665003343,5.392619557145648e-06,0.0001227892827494,1.995799840468937e-05,0.0002164292379832,0.0042214425563405,0.0046822078365017,0.0002461195870135,0.0038682593635491,3.8231197856636105e-06,3.262612708370988e-06,0.0063063753335877,7.502082418131181e-07,3.0311443067704308e-06,0.0267488237478535,0.0630427073238571,0.0738682361371472,0.0869835098059458,0.0982195393853378,0.1077117233112098,0.1159687101299511,0.1245128755576549,0.1379933197186435,0.1469207175432038,0.0052509714645603,0.4052626161432893,-0.0001716321863027,-0.0015331419698204,9502.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637244653725,3.1168528439380503,3.079180554389538,-0.0014620286707184
6,6,6,37,4.877151272148869e-06,4.790280530090168e-06,0.006382040624184,0.0081396300426865,8.61021126013798e-05,0.0003765979676529,1.9948871980982584e-05,5.040604878705526e-05,1.1384891121635893e-06,0.0005294052092107,3.994811735775621e-05,7.664498888153127e-05,0.0036168415219518,6.204622971790066e-06,2.870162713971401e-06,1.6101741466850875e-06,0.0267811776701062,0.0631258558591791,0.0739666625364042,0.0871001231595679,0.0983524416907569,0.1078609744166609,0.1161355342033191,0.1246930151855791,0.1381587242318233,0.147036638992221,0.0053983053239833,0.4057569760438039,-0.0001008483593754,-0.001533141959042,9646.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637259293309,3.1170389902633877,3.0791805611294367,-0.0014620286707185
7,7,7,60,4.709519055316171e-05,4.251195406265228e-06,0.0008405020506195,0.0059144293403424,1.6110471748513747e-05,0.0068936756674099,1.3707633920069563e-05,0.0008240716191117,1.4002530296336566e-06,2.588416257585681e-05,0.0002000495393744,1.4791971556903618e-05,5.496945260271028e-05,1.2734300950238307e-05,6.407883208962894e-06,1.5186208639710734e-06,0.0267802434060029,0.0631256018749198,0.0739666026055639,0.0871003447850912,0.0983524215603444,0.1078587447216992,0.1161287513326101,0.1246858923153729,0.1381814440492884,0.1471150895959642,0.0052736610103884,0.4058294190519085,-0.0001388006189342,-0.0015331419257921,10903.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637258213589,3.117027691731345,3.079180560632336,-0.0014620286707185
8,8,8,39,2.794090109697776e-05,2.993891601444288e-05,0.001545680980669,0.0024561663731579,0.0037609874562092,7.266065325917539e-05,2.7654877366285167e-06,0.0010865360295004,8.829745150335225e-06,1.1729408512515649e-05,0.0078766661856646,0.0022911333338683,0.0001187903421703,1.793968160507468e-06,5.99445906212257e-06,2.3224267884080223e-06,0.0267790739680001,0.0631246449147997,0.0739653558119107,0.0870991115592477,0.0983506000942173,0.1078536800664086,0.1161172024060535,0.1246737474289495,0.1382106200256747,0.1472216795215453,0.005100387092838,0.405922775341387,-0.0001552003542804,-0.001533141922589,10662.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637276252906,3.1170194082109086,3.0791805689374327,-0.0014620286707186
9,9,9,19,1.4157803661080586e-05,0.0001789077253292,0.006271099694128,0.0036027026208075,7.1284747390453175e-06,6.130272287843698e-05,0.0003191915644029,0.0051937542180474,0.0001218153919193,2.283564365490524e-06,0.0003667105388108,0.000106682537121,8.867688106598572e-05,5.332183200657828e-06,3.935294026045846e-06,2.435544401986143e-06,0.0267485086233237,0.0630424011363208,0.0738681408212969,0.0869834975106185,0.0982195564183732,0.107711744191075,0.115968737782787,0.1245128801541952,0.1379930902170565,0.1469200752514375,0.005251809323007,0.4052618449388307,-0.0001471832425657,-0.0015331419217107,10482.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,-0.8333333333333335,-0.9166666666666669,-1.0,-1.0833333333333337,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:40:34.752395,0.1274637288126916,3.116847019147669,3.079180574404073,-0.0014620286707186
