,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
10,10,10,95,3.1622776601683795e-05,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,1e-06,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,2.537220971225868e-06,1.0000042157101369e-06,0.0304799996465292,0.0631302842808673,0.0756733615135346,0.0888316873502235,0.0995652048249831,0.1102237020669957,0.1267099180462985,0.1414265021180449,0.0028846190002132,0.398304259089461,-0.0001264433386059,-0.0019709367677133,11349.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376673674212,2.822531499328901,2.7252710427471016,-0.001867997460183
11,11,11,35,1e-06,1e-06,0.001,0.001,0.001,3.1622776601683795e-05,0.001,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,3.1622776601683795e-05,1.1265379240368136e-06,7.869486504511855e-07,0.0305003617592321,0.0631730378475742,0.075724863667142,0.088893891446359,0.0996398838557669,0.1103082216226692,0.1267781309871643,0.1414476893285779,0.0030067597320564,0.3985124519988808,-0.000187071441507,-0.0019709367481291,5403.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376678230398,2.822573674249913,2.7252710446479025,-0.001867997460183
12,12,12,44,1e-06,1e-06,1e-06,3.1622776601683795e-05,0.001,1e-06,1e-06,1e-06,0.001,1e-06,3.1622776601683795e-05,1e-06,2.432657786985055e-06,1.411862618121858e-06,0.0305192734498831,0.0632167037842995,0.0757775095709567,0.0889541110455672,0.0997018307499773,0.1103753146695047,0.1268929350815961,0.1416480593431001,0.0028527150949675,0.3988935583394204,-0.0001422601631068,-0.0019709367382341,12303.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376694889895,2.822598766788741,2.725271051598098,-0.0018679974601831
13,13,13,84,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1e-06,1e-06,0.001,0.001,3.1622776601683795e-05,3.1622776601683795e-05,3.1622776601683795e-05,1e-06,9.464383965217024e-07,1.098678699059251e-06,0.0305199425107374,0.063216297383099,0.0757770239460414,0.0889552695228445,0.0997083518984716,0.1103842209175685,0.1268687898520197,0.141554107513412,0.003000224549466,0.3988027427412264,-0.0001532129609777,-0.0019709367143502,11571.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376657128414,2.822608781662565,2.7252710358443366,-0.001867997460183
14,14,14,16,0.001,1e-06,0.001,1e-06,1e-06,3.1622776601683795e-05,0.001,0.001,1e-06,1e-06,0.001,0.001,4.784762271813504e-06,4.11689497064827e-07,0.0304794880992956,0.0631292633306429,0.0756722706657772,0.0888305128571898,0.0995640420247305,0.1102224428344899,0.126707469756409,0.1414218168196384,0.0028887438021209,0.3982959884252232,-0.0001585538792427,-0.0019709367080887,10584.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376568273111,2.8225256266741257,2.7252709987746813,-0.0018679974601826
15,15,15,88,1e-06,3.1622776601683795e-05,1e-06,0.001,0.001,3.1622776601683795e-05,0.001,1e-06,1e-06,3.1622776601683795e-05,0.001,3.1622776601683795e-05,1.2008932053559328e-06,2.0495279670133034e-06,0.0304794405784933,0.0631297731843264,0.0756726366277606,0.0888305176577752,0.0995631271596465,0.1102211632903952,0.1267118460484031,0.1414380675504536,0.0028638517705778,0.3983123730400122,-0.0001763404956835,-0.0019709366986157,11263.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376650979098,2.8225324128354985,2.7252710332788954,-0.0018679974601829
16,16,16,9,1e-06,1e-06,3.1622776601683795e-05,1e-06,0.001,0.001,0.001,1e-06,1e-06,3.1622776601683795e-05,1e-06,1e-06,1.780063476674995e-06,1.194947966528211e-06,0.0304799192875323,0.0631294713500578,0.0756723764585077,0.0888313935476485,0.0995675285589566,0.1102271286435323,0.1266962835653287,0.1413770215386232,0.0029601589412967,0.3982537121817835,-0.0001702852460118,-0.0019709366923108,13104.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376594527613,2.82253572008485,2.7252710097278325,-0.0018679974601827
17,17,17,24,1e-06,1e-06,3.1622776601683795e-05,1e-06,1e-06,0.001,3.1622776601683795e-05,0.001,0.001,1e-06,0.001,1e-06,3.912450241755331e-06,1.5737295460618598e-06,0.0305187554523129,0.0632165630286881,0.0757773937296471,0.0889533657634197,0.0996991164143843,0.1103716946776999,0.1269011255581096,0.1416812591229944,0.0027997266942165,0.3989246013586661,-0.0001452396138509,-0.0019709366574363,11915.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.120637660143943,2.822592378990753,2.7252710126113864,-0.0018679974601828
18,18,18,66,1e-06,1e-06,1e-06,1e-06,0.001,0.001,1e-06,0.001,1e-06,0.001,0.001,3.1622776601683795e-05,3.0998631683822587e-06,1.983346205018569e-06,0.0305188154572842,0.0632169410142553,0.0757777876489778,0.0889536214040899,0.0996988646425732,0.110371251491231,0.1269041196703051,0.1416914204954929,0.002784795617033,0.3989355878252821,-0.0001712034827522,-0.0019709366558524,10503.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.1206376571085297,2.822593708963247,2.725270999947904,-0.0018679974601826
19,19,19,0,3.1622776601683795e-05,3.1622776601683795e-05,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,3.1622776601683795e-05,3.1622776601683795e-05,4.028870368393966e-06,1.303877054480673e-06,0.0305189760239802,0.0632165081683694,0.075777363902997,0.0889538407850475,0.0997011418230108,0.1103744159766558,0.1268944543122849,0.1416547319814346,0.0028417054495611,0.3988993924826201,-0.0001725532767184,-0.0019709366555196,10736.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,30,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,10.0,1e-08,adamax,0,0.0,ramp,0 days 00:05:49.625769,0.120637666875939,2.8225940765301694,2.725271040696679,-0.001867997460183
