,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
0,0,0,54,1.842810166052782e-06,0.0004500620675348,0.0078156445411801,0.0054549412549126,0.0001162618145146,0.0001081098720497,2.1498927094498464e-05,2.1166857800178136e-06,3.9565926012472417e-07,4.179105562873319e-07,0.0402755080499852,0.0646749416292086,0.0894717443173206,0.119450816915146,4.193057660975094e-05,0.3712967291679849,-0.0010456847441241,-0.0038014125635442,14428.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225730956478,2.183259927289971,1.9972829839996784,-0.0035453780223061
1,1,1,65,7.538385393303221e-06,2.0704276512834867e-05,0.0006747653038644,2.0687883261032205e-06,0.0073977083820001,8.295873720228317e-05,9.466760449026891e-06,0.0001177316858807,7.350030263932843e-07,6.083728795286686e-07,0.0402753994078602,0.0646749336136357,0.0894714792237732,0.1194496418815832,4.350484738808754e-05,0.3712951197810517,-0.0009386032398477,-0.0038014122794823,11898.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225768187011,2.1832591134793797,1.9972829943862052,-0.0035453780223062
2,2,2,43,0.0006725366094873,3.828747323626554e-06,0.0004218212710891,0.0001008463265397,4.878802518976385e-06,0.0060341475050769,0.0078649199030143,0.0001056982700894,1.5771151232404545e-06,5.003823046786631e-07,0.0402753031292451,0.0646748317388782,0.089471742009132,0.1194511221751874,4.135686127089376e-05,0.3712969746092264,-0.0009082118819101,-0.0038014121689524,12650.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225722213134,2.1832567330987027,1.9972829815604691,-0.003545378022306
3,3,3,23,7.901013945729616e-06,0.0005277209970571,0.0025642032617814,0.0002124677668918,2.7149997691421896e-05,0.0048559218422544,2.069303653330006e-06,1.1101251027846292e-05,6.287687525393139e-07,7.354192495047083e-07,0.0402186096789834,0.0645830952326885,0.0893435751228303,0.1192766112240106,4.64368605845038e-05,0.370759626725402,-0.0008854966396299,-0.0038014121066207,12986.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225724371998,2.183337361146725,1.997282982162748,-0.003545378022306
4,4,4,31,0.0029250357361931,0.000226424141773,0.0058038303405321,0.0002700120234012,0.0004527564985451,5.318611398335869e-05,6.769910573879125e-05,3.5079723216453725e-05,8.596103137058064e-07,4.374662533619096e-07,0.040275664998446,0.0646753407487405,0.0894711650807833,0.1194466164705566,4.8463618466346936e-05,0.3712922505669074,-0.000877221978761,-0.0038014120930532,13716.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225738576125,2.183259519738715,1.9972829861253976,-0.0035453780223061
5,5,5,90,9.447544255964616e-06,9.555153549275716e-06,1.1990770803250804e-05,0.0030540959964264,1.888518729419628e-05,0.0010180900038268,0.0051051518051554,4.244136414442179e-05,6.94072051295504e-07,6.64327664917081e-07,0.0402186792726256,0.0645832089776194,0.0893432103913423,0.1192745711130564,4.939609495809906e-05,0.3707571727288754,-0.000883362921589,-0.0038014119819482,12707.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225765458758,2.1833377027021506,1.9972829936250804,-0.0035453780223062
6,6,6,67,0.0057975978510696,0.0012413652891114,0.0049204048421507,0.0026810884518181,0.0002376556086251,0.0077561828906493,1.2860504568910823e-05,0.0001546648834973,1.453583020505462e-06,9.075283352264694e-07,0.0402182015153741,0.0645826187564027,0.0893435845567556,0.1192785066842293,4.2858291917244346e-05,0.3707608476171415,-0.001128983513921,-0.0038014119223962,11318.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225706640325,2.183334768881506,1.997282977215988,-0.0035453780223059
7,7,7,46,0.0032944772790704,5.209554696461321e-05,0.0001916003393566,0.0001264293490273,0.0002627129000725,0.0040071534923051,2.825287606043885e-06,7.261299533027117e-06,1.4934757479861403e-06,6.285427036284327e-07,0.040218545582429,0.0645830654348852,0.0893436432444772,0.1192769512206544,4.596542310895252e-05,0.3707601339986753,-0.0007826639202669,-0.0038014119083609,13723.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225768906611,2.1833351541296477,1.9972829945869608,-0.0035453780223062
8,8,8,48,1.2470355426442944e-05,0.000912045875564,1.0739198064241745e-06,9.476894394011032e-05,3.544058067511381e-05,1.4535898052549448e-05,0.0051452957621382,1.455721273727622e-06,1.0556960003640848e-06,1.289921072101873e-06,0.0402751354397611,0.064674916468991,0.0894714720546388,0.1194495481443682,4.3695856029944365e-05,0.3712949667683014,-0.0007177388709937,-0.0038014118086431,13634.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225723726368,2.1832575587384384,1.9972829819826332,-0.003545378022306
9,9,9,12,0.0011151365855126,0.0008297085931175,2.446811166878224e-05,0.0001285203074762,1.0462866197128209e-06,0.0039042424239021,0.0002683885224456,0.0001397626314655,1.5180641823840403e-06,1.2699885148481413e-06,0.0402179840634541,0.0645824513184271,0.0893436661716083,0.1192794909135673,4.120368756911348e-05,0.3707616773478941,-0.0007644948428745,-0.0038014117896856,13203.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:06.599924,0.1028225728829298,2.183334039291318,1.99728298340624,-0.003545378022306
