,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,runtime
86,0.0004037017258596558,0.0782305270802312,-3.0417687950768177e-05,-0.0014715280018766318,3261.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
93,0.0006579332246575682,0.07823052697782697,-4.7163530641417534e-05,-0.0014715280018766266,3045.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
79,0.0002477076355991711,0.07823052695267625,-1.9583539997642222e-05,-0.0014715280018766262,3477.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
24,5.336699231206313e-06,0.07823052692229192,-6.091597137795992e-07,-0.0014715280018766249,5178.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
11,2.1544346900318865e-06,0.07823052691471356,-2.694047937150239e-07,-0.0014715280018766242,5584.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
44,2.1544346900318823e-05,0.07823052684067375,-2.153380433702436e-06,-0.0014715280018766186,4558.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
55,4.641588833612782e-05,0.07823052670695828,-4.31302199757838e-06,-0.001471528001876612,4218.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
0,1e-06,0.07823052667389996,-1.349306978837111e-07,-0.0014715280018766097,5932.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
72,0.00015199110829529347,0.07823052653382224,-1.2595660339136145e-05,-0.001471528001876601,3693.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
64,8.697490026177834e-05,0.07823052651078012,-7.605660290247017e-06,-0.0014715280018766008,3940.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:04.498955
