,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime
16,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.001,0.001,0.001,0.001,1e-06,1e-06,0.08295935463929825,0.07688090434938516,0.0009623782821594224,0.07359581138861254,0.009421475601597944,0.07325523183946824,0.012413902410884827,0.07145140328592124,0.009399075032675855,0.07080167485086454,6.601677378426447e-07,5.162841573737472e-07,-0.00010248264060804625,-0.0025209614064009805,11233.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
7,0.001,0.001,0.001,0.001,1e-06,1e-06,1e-06,1e-06,0.001,0.001,1e-06,1e-06,0.08285393229203439,0.07676550334183535,0.0009738420858126701,0.07346621971700688,0.009442248247302911,0.0731188676253724,0.012425851104786204,0.07132586380140027,0.009402896383287316,0.07069243779162372,1.1328008622692446e-06,6.626418919135663e-07,-0.0001642498033703052,-0.0025209611772366836,10835.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
52,0.001,1e-06,0.001,0.001,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,1e-06,0.08299109154911327,0.07683958847521366,0.0010167282691481683,0.07354238859230855,0.009469186056470905,0.07321372127992762,0.0124473778649949,0.07142479600085644,0.009416851254357756,0.0707937306747996,9.025266660753028e-07,5.996718423095989e-07,-0.00020633495157695004,-0.0025209610984483297,10632.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
61,1e-06,1e-06,0.001,1e-06,0.001,0.001,0.001,0.001,0.001,0.001,1e-06,1e-06,0.083010884306025,0.07681519915557251,0.0010495231631163582,0.07351634116172692,0.009489347149637145,0.07319826089365652,0.0124598510985101,0.07141619096989144,0.009423075065784879,0.07079240588723378,8.227856662596546e-07,5.443102176787364e-07,-0.00019012337595034718,-0.0025209610068283976,11588.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
69,1e-06,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,1e-06,1e-06,1e-06,0.08231508239545998,0.0774882967294791,3.341195864599546e-05,0.07423268767844159,0.008875852225874519,0.07357862853428092,0.012082303948709404,0.07158668009481466,0.009239113040438337,0.07074158647123212,1.3160551238419668e-05,1.470216720191336e-06,-0.00016580458511699327,-0.0025209607825451793,11288.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
18,0.001,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,0.001,1e-06,0.001,1e-06,1e-06,0.08303436198200717,0.0767852629458878,0.0010907871537658264,0.07346253572284098,0.00954768029608361,0.07314294482292115,0.01250812242335573,0.07137670839633484,0.009450205577664494,0.07077939880187233,1.0491814065214523e-06,5.454411921485431e-07,-9.93165740856101e-05,-0.0025209607632790607,9765.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
51,1e-06,1e-06,1e-06,0.001,0.001,1e-06,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.08297403453578413,0.07686199184056898,0.0009874080087984767,0.07356546531200392,0.009452547461530124,0.07322681324176797,0.012437744238303598,0.07143183800634757,0.009412236302393032,0.07079469063011345,6.049998134260074e-07,2.7243961325764043e-06,-9.987039744457476e-05,-0.0025209607415912134,11431.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
47,0.001,0.001,1e-06,0.001,0.001,0.001,1e-06,0.001,0.001,0.001,1e-06,0.001,0.08237388250573195,0.07741405310026478,0.00013578100996250206,0.07410427457616171,0.009014249002496089,0.07346186689001456,0.012173993053805766,0.0715170675057322,0.009280705600002152,0.07072956844061891,1.156212364470444e-06,1.3636648999822967e-05,-0.0002374700646372005,-0.0025209607246706556,8393.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
13,0.001,0.001,1e-06,1e-06,0.001,0.001,1e-06,0.001,1e-06,0.001,1e-06,1e-06,0.08294157764034486,0.0766463644951679,0.0011273765953413708,0.07334077965706767,0.009533350467077066,0.07304439946725032,0.012480498314547735,0.0712830992020641,0.009429743995006826,0.07068181161028855,8.800368220928909e-07,6.478727170725878e-07,-0.00017998520174395164,-0.0025209606476299267,9786.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
43,1e-06,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,1e-06,0.0830513257141728,0.07676114234958158,0.0011199059397108049,0.07346068855833009,0.009529368588917226,0.07316632594441139,0.012483948171083444,0.07139791369770837,0.00943523164949144,0.07078797055472498,1.106655945915991e-06,6.089229061741078e-07,-0.00019263249856615243,-0.002520960629310512,11060.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:25:01.166134
