,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
13,13,13,13,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.6227542472965717,0.1999369192332252,0.1960804175196298,0.4655506021104362,1.0012542928758037,0.2306101517139867,0.1872131422386155,0.1995487365005231,-0.000731221453363,-0.0008837910497108,396.0,0.0,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.426057466476252,0 days 02:59:44.995636,0.0007312707657432,1.287555121311906,1.2681073796797457
14,14,14,14,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,1.0000021066143745,0.0042286631579683,0.3449094884390895,0.4804292547673276,0.1409190048107839,0.0021275024636651,0.1248932767261947,0.0012995798678542,-0.0012323086985153,-0.0015359071920102,3047.0,0.0,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2291840387277206,0 days 02:59:44.995636,0.0012323745087679,1.5757157402565556,1.398609332365596
15,15,15,15,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.1349772330233941,0.4633067991108809,4.381560016751259e-06,0.5118082758333277,4.768115852767509e-06,2.895190032145791e-06,0.1730523400514948,0.0316287439631257,2.255721210277782e-06,-0.0018086536392608,-0.0022203812882551,9278.0,1.0,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,0.1097346640066967,0.2032415440873966,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1359475354827983,0 days 02:59:44.995636,0.0018086783247512,1.553850636875033,1.556412910058586
16,16,16,16,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.11350403037983,1.4448198074433252e-05,0.0198957767074432,0.4277810518158531,0.289401444307544,4.262841969115399e-06,3.1043300371107136e-06,3.3465562242779864e-06,-0.0017258677495011,-0.0023678953592151,9588.0,1.0,0.2838064889441311,0.3141338956023022,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1504488053584761,0 days 02:59:44.995636,0.0017259384318791,1.2706840188651136,1.4311109426231605
17,17,17,17,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.1864408533970484,0.5902101495298622,1.048284987507856e-05,0.7111776307983109,6.235546822898891e-07,2.9025693102054413e-06,1.1683052625666262e-06,0.4473441299597502,5.131303931921284e-06,-0.0012533503733577,-0.0015842159569276,9327.0,1.0,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,0.0770838085005387,0.4884492270855238,0.2128309953403343,0.1326962975467872,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1885448736232156,0 days 02:59:44.995636,0.001253384382762,1.7307814567104414,1.5547829101247292
18,18,18,18,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.77965256695713,0.0183783885949599,0.2612062421526214,0.0335379341514136,0.3486512389846185,0.4405557511223256,1.0000420825837206,0.0366580838289675,-0.0006417728038874,-0.000719545328563,1522.0,0.0,0.506064922529373,0.785085292596959,0.2950064428055194,0.7687717599091665,0.5256295231622541,0.1490480233707125,0.9649677439797356,0.4016362238885175,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4877705458122094,0 days 02:59:44.995636,0.0006417858220581,1.6064891064773221,1.2373655132469537
19,19,19,19,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.1182429928859959,1.0001914744434732,0.1937095202114702,0.8405838321906877,0.0423352914147178,0.0737423549033263,0.0390574535124029,0.9860561652361596,-0.0007411365299611,-0.0008595076578026,1096.0,0.0,0.2952342556626958,0.8469983706337296,0.1244603325154798,0.7335904610737034,0.1878247425654683,0.3924917760125824,0.2318998784621384,0.8412279926923869,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3952813617172395,0 days 02:59:44.995636,0.0007411533631487,1.51431663281122,1.3101280952812848
20,20,20,20,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.5068486489030147,0.6297182002399582,1.040101874975454e-05,0.0001831077706675,0.2036911052832558,4.3934502725753885e-05,2.6664121665932585e-05,0.9814936639411512,-0.0010568401434924,-0.0013486838113811,9036.0,1.0,0.3900745519398617,0.9746928128822892,0.6252614844151068,0.6936228347029152,0.5215251221324175,0.3089681990755911,0.3955564210524287,0.9409341876619016,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2770837641138862,0 days 02:59:44.995636,0.0010568668549278,1.392233093776459,1.2534816895524663
21,21,21,21,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,1.000632848682955,0.4261530810653695,0.065726206977947,0.3160560552892662,0.1994824790893912,0.0567964875420996,0.0464525304872957,0.0483597414698979,-0.0013088416493448,-0.0016499519893689,941.0,0.0,0.2012032007246644,0.9882189012202124,0.7583058620038184,0.3597869264926102,0.6415135895056033,0.3809815392930875,0.38149293263992,0.5038029501945296,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2051430043269628,0 days 02:59:44.995636,0.0013088423539307,1.5401459369228665,1.4067799073963936
22,22,22,22,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.9866156658655448,0.0005699923235421,0.8690589170682519,0.3272159436318299,0.4739457328970153,0.028153852540095,0.3872069194972788,0.8267160834068565,-0.0007060200746728,-0.0007504418892097,6562.0,1.0,0.016722821635377,0.4935715599433962,0.971598413446888,0.2854652287855784,0.7482179590766121,0.442788890070495,0.2092810426177854,0.9050025708181296,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4347781865505798,0 days 02:59:44.995636,0.0007060325783476,1.3683719744349991,1.2433708605060678
