,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength,keep
14,14,14,14,14,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.8683889428208635,0.1811203588328129,0.1639335361788709,0.1909358984725455,0.1658971968103864,0.9736771230297686,0.173313994331169,1.002035833977917,0.165881288780099,0.6882023494431652,-0.0015366486198167,-0.0016732977671491,393.0,0.0,0.0770838085005387,0.4884492270855238,0.2128309953403343,0.1326962975467872,0.506064922529373,0.785085292596959,0.2950064428055194,0.7687717599091665,0.5256295231622541,0.1490480233707125,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4004166268322088,0 days 02:36:32.165057,0.0015366938993308,3.2801585511045146,3.2110427684645724,1.0
15,15,15,15,15,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,0.0055142057392402,3.87673133205524e-06,1.982886502225121e-07,1.413993411738663e-07,1.2774313376993673e-06,9.99908614339716e-08,6.326659516432369e-07,8.603487491513892e-05,0.0135431492439896,3.340352197693069e-06,0.1069949628344825,-0.0043239602292809,-0.0056670228527996,6503.0,0.0,0.9649677439797356,0.4016362238885175,0.2952342556626958,0.8469983706337296,0.1244603325154798,0.7335904610737034,0.1878247425654683,0.3924917760125824,0.2318998784621384,0.8412279926923869,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.0055153993838402,0 days 02:36:32.165057,0.0043239602139444,3.644031682095654,3.956292773360571,1.0
16,16,16,16,16,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,0.1535934676510894,1.00014278795301,0.0523434484663371,0.0559462047981484,0.0234018754559145,0.0240303488803738,0.0241961261073671,0.1705466911611116,0.0252792313080253,0.0246093373576201,0.0281169401793989,-0.0026248701550348,-0.0041202196663752,823.0,0.0,0.3900745519398617,0.9746928128822892,0.6252614844151068,0.6936228347029152,0.5215251221324175,0.3089681990755911,0.3955564210524287,0.9409341876619016,0.2012032007246644,0.9882189012202124,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.1535343892794131,0 days 02:36:32.165057,0.0026248704114952,3.752192750668092,3.4382760358167785,1.0
17,17,17,17,17,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.445962762681909,0.1754971198642733,0.2105647980922349,0.1632768786285265,0.1668556990265347,0.1678966503832114,0.1643915552054433,0.1797701924830133,0.1675490951034646,1.000189862384096,0.5562911220850453,-0.0015030091248762,-0.0017150424149358,435.0,0.0,0.7583058620038184,0.3597869264926102,0.6415135895056033,0.3809815392930875,0.38149293263992,0.5038029501945296,0.016722821635377,0.4935715599433962,0.971598413446888,0.2854652287855784,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4435272996725553,0 days 02:36:32.165057,0.0015030204532406,3.285409905255626,3.451994332726964,1.0
18,18,18,18,18,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.2575263326771197,0.0693030447491474,0.0671360204904781,0.0669496462205746,0.6831000296129095,0.0958963896499599,0.0748659873995457,1.0006354058322902,0.0794117730606648,0.486607835160456,0.1682303258895816,-0.0020934587039032,-0.0023308495769692,590.0,0.0,0.7482179590766121,0.442788890070495,0.2092810426177854,0.9050025708181296,0.0168272846802129,0.3035089265995107,0.9990258823239376,0.2621467961899895,0.849044521859272,0.6056831486557043,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2547402290808567,0 days 02:36:32.165057,0.0020935166723518,3.803803837469808,3.522173138434912,1.0
19,19,19,19,19,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.2337423870891811,0.0713497813384567,0.0384151402542391,0.0530830036325161,1.0004588276848267,0.0522368290197915,0.4832607444331966,0.4234191643046838,0.6404899773500651,0.0447237952446664,0.0461345079545722,-0.0022688654731481,-0.0025328322164647,781.0,0.0,0.8060357075271236,0.6303177554434782,0.3626968570578484,0.7607887845834825,0.0264845489039723,0.4468129517344519,0.371854569870106,0.4770740056373495,0.1276206864960696,0.2225068659462724,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2369389133179714,0 days 02:36:32.165057,0.0022689739479872,3.4140860197744263,3.18189384786216,1.0
20,20,20,20,20,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.4047756965997318,0.5185236840577745,0.4495347997687848,0.1758122843389467,0.1617472676527505,1.0015908769413011,0.1553234688350752,0.1610605149735491,0.1797057233090433,0.3983365906607354,0.6415920908503067,-0.0015490702677835,-0.0016745602817826,417.0,0.0,0.5620515900997094,0.3877691156559539,0.7916562055903406,0.6051365892775145,0.8612666847869941,0.7323608373256045,0.601823447758565,0.2876156021959957,0.7827604679261685,0.2512675781710818,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3991558455501676,0 days 02:36:32.165057,0.0015491450963993,3.105494739860152,3.189636434197871,1.0
21,21,21,21,21,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,1.000150202958609,0.7007980716651515,0.1606566802710224,0.8561760594727075,0.072039762910656,0.0716797201717226,0.0915777141212602,0.0858606356527915,0.0830909076024041,0.2377865655978511,-0.0020959668209298,-0.0026194103775182,584.0,0.0,0.0752111118144044,0.9628645784432278,0.5400112050964692,0.7738942975498113,0.5292228076303601,0.6115797303718215,0.0338922505165062,0.1867936793538085,0.6746893954347775,0.5705645979524983,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2751720030855517,0 days 02:36:32.165057,0.0020959676508108,3.229229232753221,3.3592700211165814,1.0
22,22,22,22,22,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.2054117348353061,0.0672464233571085,0.9927043985109804,0.0421610930719856,0.9954096245138538,0.0424096172063318,1.0014426135650625,0.8270692363171711,0.0423219634867535,0.0423375525348099,0.0436697789050617,-0.0022436945054139,-0.003278049429394,689.0,0.0,0.1585550339867126,0.9520292687261848,0.1543536325474043,0.5103032497386853,0.1440028750192576,0.7173717261062347,0.2763130140951527,0.1341339751217832,0.0459871806705156,0.1748355378976236,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2028706146989312,0 days 02:36:32.165057,0.0022437701122692,3.30619427714794,3.318773769204948,1.0
23,23,23,23,23,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.7722813571388628,0.659951964795401,0.6197717921107971,0.6143749125520137,0.6012642455691208,0.6006734025538665,0.5941635306933131,0.5959057099902685,0.5947402078774079,0.6928935575882973,1.0002521442651582,-0.0009979780628568,-0.0010352016899356,114.0,0.0,0.1917987167235664,0.5369720795717926,0.4510388861713912,0.9572943672535372,0.9541513368666424,0.7965461104684304,0.6715876339807033,0.8450230915683464,0.9387518284798846,0.0226177288870027,100000,30,10,0.1,1.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.7611944075281603,0 days 02:36:32.165057,0.0009980524106085,3.189467440407032,3.2766253678729083,1.0
