,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.1837318954970093,0.6355451058732997,0.7348308151991286,0.8279233506970849,0.3051756636831887,0.000243710178792,0.5567030464875825,0.0003557395266188,0.2306624198255352,0.8318172903572173,0.3518899417084642,0.0483429468641654,0.2957578967696196,0.3824820456873791,-0.0002502260459305,-0.0002811937314252,6579.0,1.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.369406748697179,0 days 16:21:07.613160,0.0002502281968934,1.600130411592075,1.3770709380104478
1,1,1,1,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.8119514753291863,0.0001128041308344,9.006187453595821e-05,0.0013179008395345,0.4468171338788783,8.340672842781002e-06,0.3454923339112191,7.621812491455126e-06,0.788060352124942,0.0201649632920759,0.0008483269290838,0.4118858291386011,0.0002598294813065,0.4358366390862203,-0.0003698179393668,-0.0004304551225941,7030.0,1.0,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.254884543669443,0 days 16:21:07.613160,0.0003698323148416,1.8315231770870846,1.455191572790705
2,2,2,2,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.672582466474043,1.0001857385325792,0.0187918669990094,0.526944464264547,0.0223531199069632,0.0328289702843065,0.0233630493724215,0.5937075798000702,0.9304510843959962,0.0157249153079394,0.0308280609634022,0.666582258400124,0.0217754337333668,0.2258664338165461,-0.000249926322048,-0.0003182981358137,1397.0,0.0,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,0.641328169139375,0.8526328384806567,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3889327352970548,0 days 16:21:07.613160,0.0002499316923405,2.1583242098542503,1.2946301162352143
3,3,3,3,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.1696182388792263,0.4690273187360464,0.5180234424291293,0.000970287105738,0.1414215464295623,8.737715609613434e-05,0.4110257216282234,0.0002019840884089,0.0001993566285018,3.48505921052793e-05,0.3427683868105896,0.0018156003802594,1.0000727087071293,0.0003586621166448,-0.0002482074908991,-0.0003657272877378,5271.0,0.0,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3568092266833319,0 days 16:21:07.613160,0.0002482079849229,2.7185022122098017,1.390440223902899
4,4,4,4,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,6.910585851088988e-05,5.6285686270598855e-05,0.0001131748615354,0.5678590857718363,0.0001025594433061,0.755860159549994,0.2427015996583858,7.479077202711885e-05,0.6694230957971633,0.1296178579875699,0.0538369167104031,0.5506814585853739,0.0001546801803816,0.1903750307501245,-0.0003437209967491,-0.000395159638963,7386.0,1.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.289739979871109,0 days 16:21:07.613160,0.0003437401713018,1.3660359037714,1.3121854500066572
5,5,5,5,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.4559231105863686,0.2568134943988502,0.617751236702132,0.1168925550634409,2.908881713743375e-05,0.4652907768241424,4.9782262797936216e-05,0.2075646604415098,0.008738047085642,0.1329277411076659,0.099838816315999,0.6267658893279217,0.1175806559478053,0.872548499821642,-0.0002786059785855,-0.0003338519517305,6649.0,1.0,0.1505248304211774,0.4822123881993365,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3071099235888495,0 days 16:21:07.613160,0.0002786194011069,2.054224723747799,1.3846318249431784
6,6,6,6,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.0006751778794572,0.9895416356122452,0.6017597817340614,0.3886517461338705,8.544377057848617e-05,0.0002148340381275,0.5488260885896534,0.2487672704638717,0.0001187707203785,0.4086537667588911,0.0509519473649937,0.0592325802218769,0.4237688775979937,0.3208119809676026,-0.0003058544630997,-0.0003437050918761,6146.0,1.0,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,0.1059212367073244,0.6331599460365578,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2794577340471711,0 days 16:21:07.613160,0.0003058728663921,2.002316823900393,1.4712729381954817
7,7,7,7,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.5391062205596442,0.1274787383781731,0.1363270290976228,0.3573028046610533,0.1935816061532614,0.1397910984527591,0.2759968106729445,0.2885773838347993,0.1368926695485361,0.4795301047542444,1.00055762265225,0.2348027025162348,0.1373804597300227,0.1594037427600511,-0.0002529446031305,-0.0003053627067623,521.0,0.0,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3836097436607358,0 days 16:21:07.613160,0.0002529557078077,1.5639083259864894,1.3264737351786224
8,8,8,8,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,1.000000709504926,0.0047686258393883,0.3786515842888691,0.4278493122597203,0.2321603661125393,0.0006273147614678,0.0804391397354669,0.0008197678756094,0.3712184184051066,0.0031384915898458,0.4708108832706523,0.0041663142775981,0.0017707782833151,0.0017701522151504,-0.0004997640812034,-0.0006179087037307,3436.0,0.0,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.176684532666543,0 days 16:21:07.613160,0.0004997834815046,1.7871685744435057,1.630883295635313
9,9,9,9,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1487115462808952,0.1488251804265406,0.1237226094039538,0.0432600700630086,1.5012652660124473e-06,0.0256093636189408,0.4245668089338421,0.2946630945030716,4.168374254259116e-07,2.0237275850367962e-07,7.773166273297853e-07,0.2080177829019745,0.1177920377345089,0.2641560244637178,0.0166746494588448,-0.0005481857040973,-0.0006356512552665,100000.0,0.0,0.1097346640066967,0.2032415440873966,0.2838064889441311,0.3141338956023022,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,100000,30,14,0.1,5.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1467705755301628,0 days 16:21:07.613160,0.0005482112811913,1.6031767085234931,1.6104804635449268
