,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,1.0000366773240583,0.0156713226822314,0.2602841685938948,0.0236456821530028,0.7915950553955787,0.0870090562120868,0.5945791204059945,0.1179721827998953,0.05842705404031,0.8980805872634628,-0.0005158314499886,-0.0006150848802982,1405.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3624524256105315,0 days 05:32:02.756286,0.0005158591026439,1.7395112505090733,1.620507865323086
1,1,1,1,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.3061827762664575,0.0001053555989738,0.2366055484100188,0.5918399517158807,0.278549412713862,9.360039551572506e-06,0.1691560091377391,0.1154793945118517,0.0738200324203705,3.7087980955621446e-05,-0.0009503510814773,-0.0011507656881743,8296.0,1.0,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1694835189674897,0 days 05:32:02.756286,0.0009503515454509,1.8469722330558846,1.8098565093914853
2,2,2,2,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.5612490407279557,0.132792657032516,0.6792784357159666,0.1002800787480816,0.1557891335177248,0.2068538333638214,0.2460369403905641,0.1561359479035881,0.3088534703708805,1.0001705588803034,-0.00056582724565,-0.0006518738897838,616.0,0.0,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.361588587045025,0 days 05:32:02.756286,0.0005658819330872,1.4415699685219172,1.5366567677359022
3,3,3,3,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.0418466292622145,0.5403519031930201,0.014599374324925,0.0001678844407547,1.7621674645753443e-05,0.7602126062904182,0.7985393274306208,0.097772571284173,0.0038473074841415,0.7383938761650571,-0.0005369239520134,-0.0006600506669305,7369.0,1.0,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3715829041349274,0 days 05:32:02.756286,0.0005369493369805,2.07904397384133,1.5766976455520432
4,4,4,4,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0754667263084388,0.0732251479030861,1.109686770233366e-06,3.251468539438802e-06,0.6581056903074068,0.1256150960930317,0.1363429896404763,0.2127534557992272,1.4765867122808637e-07,0.2996526223315563,9.99984765445246e-08,-0.0006412302492172,-0.0008744501669513,26817.0,0.0,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,0.1479220357849565,0.819626719119277,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.0747572075880815,0 days 05:32:02.756286,0.000641236269517,2.2223919137949184,2.333923810005721
5,5,5,5,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.2556351843902295,9.99591374183241e-08,3.971813330241597e-07,2.3686305368004173e-07,0.5625590631882958,0.9855308839033878,2.4981162334317583e-06,0.0099735603401578,1.8164762937704025e-06,0.7294146976173642,-0.0005408915270313,-0.0007947618263872,9483.0,0.0,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3614635989952228,0 days 05:32:02.756286,0.0005409356347602,3.1023871100307883,1.6842849182118416
6,6,6,6,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.0935173672517351,0.8169139406854882,0.2230951214024334,1.858823475496253e-05,0.7117615662141206,0.0509467523960036,0.1258316457300401,0.4797281377987027,4.862072290027692e-05,0.1537256953224649,-0.0007437480958795,-0.0008470073327671,8621.0,1.0,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2715702879170966,0 days 05:32:02.756286,0.0007437856866607,1.7276812004231537,1.618183983454665
7,7,7,7,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.7297560593604685,0.000315951328589,0.8319910759998238,0.1270128671015583,1.2310603724523072e-05,0.3278273132018193,3.728051442157578e-05,0.2751933780403908,8.802773980269205e-06,5.223894023495261e-06,-0.0007541568385935,-0.0011186146216581,8990.0,1.0,0.1505248304211774,0.4822123881993365,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1651069932729508,0 days 05:32:02.756286,0.0007541636851274,1.9852258384431845,1.8103625770748195
8,8,8,8,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.097813386804277,0.5490717276701792,0.0878849676584465,0.5985919861042565,9.996101218543725e-08,2.549967212728923e-07,9.563369557749282e-07,0.8741888087162012,0.1224938429266286,1.5166548329718013e-05,-0.0004969276328262,-0.0008222258660178,9225.0,0.0,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2648871708388781,0 days 05:32:02.756286,0.0004969286717734,1.9783527604731423,1.7576470134672944
9,9,9,9,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.6610022183897442,0.21329335092377,7.434865852920686e-06,0.2123787430948052,0.0001281840812214,0.0545007441963983,0.6642507751481969,0.1001637815772636,0.2034473793888052,2.2164889215296604e-05,-0.0007851792353216,-0.0009087436700973,7916.0,1.0,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,0.1059212367073244,0.6331599460365578,0.3804242698865323,0.7252939380762389,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2043471134640756,0 days 05:32:02.756286,0.0007851840025528,2.101383222026899,1.8266430311687984
