,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,1.0000756344070905,0.0149923851250977,0.2449858599339216,0.0231177922272595,0.7667644506984658,0.1962128102717465,0.4272858077718058,0.3290287732549184,-0.0007602395834904,-0.0009186114733177,1435.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3747333505693269,0 days 02:38:07.160016,0.0007602669398881,1.7432043735864915,1.568714370915272
1,1,1,1,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.1244722859571931,0.8958074994272781,0.2671885958090385,0.12115894889718,0.1491716689684082,0.7017608417949546,0.1051692034126353,5.577304819999245e-07,-0.000993319160451,-0.0011222272982785,100000.0,0.0,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3024663757574567,0 days 02:38:07.160016,0.0009933192798751,1.608625622505186,1.5419821368974358
2,2,2,2,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.369613304142758,0.1678726665563469,9.8432024753843e-05,0.0846845153280925,0.7413523636284672,0.2075266488633778,0.0930607531421763,0.7280773849758401,-0.0009686581547971,-0.001046683677605,8198.0,1.0,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3300725727573734,0 days 02:38:07.160016,0.0009686940655243,1.5735424031770608,1.48047527059605
3,3,3,3,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.4459627626819087,0.2477116502238567,0.1773614611668581,0.2370356932830552,0.1501600485865945,0.342059413033694,1.000119849730165,0.1237395005356262,0.6141309050855308,-0.0007623986316402,-0.0008383447200075,816.0,0.0,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4474219147987452,0 days 02:38:07.160016,0.0007624027438182,1.4905689274590264,1.4730672859456089
4,4,4,4,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,1.2235906157200905e-05,3.942046218132063e-05,1.1185071823049666e-05,0.8181356855071146,0.7914053858755303,0.082554910643087,0.0174412273866246,0.724972049005199,-0.0008300341532682,-0.0009942993329835,7728.0,1.0,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3829355200730612,0 days 02:38:07.160016,0.0008300601235366,1.8481218058933122,1.4932781200425558
5,5,5,5,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,0.2054117348353062,2.5492055265482624e-06,4.503489001684357e-06,0.0324471153948081,0.4245169001075975,0.5382538198989725,1.2257500790985632e-05,3.34196225326588e-05,0.2642017713986782,-0.0012571771228785,-0.0014845039485484,8703.0,1.0,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2080238741682169,0 days 02:38:07.160016,0.001257217870761,1.9707413573555508,1.7526969684418152
6,6,6,6,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,1.0007739759875771,0.1778493936078092,0.1494886327948725,0.1393579419125565,0.6233442642521885,0.4393266961139708,0.4015223426848234,0.1449562884474659,-0.0008146511831061,-0.0009174473688089,458.0,0.0,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3645502578138117,0 days 02:38:07.160016,0.000814665099975,1.49082646802865,1.4563035113893197
7,7,7,7,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.0140770799484831,3.2976873829816364e-05,0.4167165422309657,0.1845245608368651,0.1552025590356789,0.8133736995049619,0.0981679615630774,2.3644340226896084e-05,-0.0010500037262686,-0.0012249290311015,8592.0,1.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2947139496555176,0 days 02:38:07.160016,0.0010500158838049,1.7297060232122137,1.5334234032400766
8,8,8,8,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.9644478982621436,4.232273313636057e-05,0.1700618904572554,0.4543577155858311,3.69011123276745e-05,0.6116040407394696,0.640038709259887,5.803204592815433e-05,-0.0008111364886533,-0.0009205736799127,8569.0,1.0,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,0.1505248304211774,0.4822123881993365,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4124919348793556,0 days 02:38:07.160016,0.0008111971835309,1.4628795158930243,1.472370303022429
9,9,9,9,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.7112186557764759,0.125384847919896,4.362939677195153e-06,0.3365367793018415,1.388840157489943e-05,0.2796911641437489,2.7187465434854844e-06,1.855966682152242e-06,-0.0014180105854358,-0.0020251448693438,9633.0,1.0,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,100000,30,8,0.1,3.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.0977825207507723,0 days 02:38:07.160016,0.0014180105659513,2.0085515864344887,1.9816371009403768
