,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,1.0000728461153148,0.0143639673263267,0.261441121378504,0.0226859331399232,0.7831043728806932,0.1128269806579218,0.5161488858545541,0.0756102023362898,0.2161629709385404,0.9550163926738174,0.0216103835391288,0.1366093337299959,0.3052348067601989,0.0194827180933387,-0.0002904428886659,-0.0003466836137427,1356.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2924667328558024,0 days 20:57:20.870996,0.0002904431971112,2.0808742390418855,1.889213669478291
1,1,1,1,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.7298051657712775,7.470065033995589e-06,6.974626701018858e-06,6.53662398210757e-05,0.1782429686488279,0.1346292724637109,0.8529540961738589,2.640521312821942e-05,0.6810755702971112,0.0567118306172946,5.108061007129975e-05,0.4083667698771067,5.076399941557529e-05,0.4741491498407542,-0.0003814818532124,-0.0004273816518894,10711.0,1.0,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2670062889927914,0 days 20:57:20.870996,0.0003814838098912,1.865643901069245,1.7040563784209475
2,2,2,2,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.7063270288452936,1.0001407862219849,0.0323139006820562,0.4936965509326436,0.0381528456051259,0.0383572874001883,0.022072836482951,0.7106857560020476,0.8375577069933935,0.020427363420497,0.0275130264514371,0.4928445609797687,0.0203419940498724,0.2001551469261976,-0.0002815082439928,-0.0003833756050364,1231.0,0.0,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,0.641328169139375,0.8526328384806567,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3433311799326627,0 days 20:57:20.870996,0.0002815092405157,2.281820017135625,1.7874558860104413
3,3,3,3,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.1873619447285325,0.7257221339778395,0.2156366767752033,0.0302912257948161,0.1343754409385934,2.370425055826801e-07,0.0302232550887377,2.516909902286688e-07,4.434151355195696e-07,9.999650720528746e-08,0.1919101950313859,0.0179946837735486,0.939356026388574,2.615716900347601e-06,-0.0002836297475721,-0.000462569061455,21116.0,0.0,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2835530796766118,0 days 20:57:20.870996,0.0002836297377688,2.95153764524813,1.8246273063655138
4,4,4,4,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.0019327768969596,0.000142792027097,0.1985971859618014,0.4041668171765662,0.0006236320788296,0.708979346428352,0.2684177869969701,5.202382465358323e-05,0.6170094106179321,0.1363566587796297,0.0974463014091828,0.4914964627791586,0.000136321875658,0.1529197913567223,-0.0003713705280257,-0.0004214716350121,7496.0,1.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.273891975397959,0 days 20:57:20.870996,0.000371372241036,2.0225801767996976,1.8470142480575384
5,5,5,5,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.729550205093528,3.3529968018604e-05,0.8295225909711624,0.1266578855329262,5.819167533919078e-07,0.3325305633640056,3.7481159353152543e-06,0.2760477480332554,1.1176212472682286e-06,0.2092682960618993,0.0366604174913062,0.5550367104713176,0.1548424945309723,0.9126218068577624,-0.0003021941100366,-0.0003783045260768,100000.0,0.0,0.1505248304211774,0.4822123881993365,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2908686707693337,0 days 20:57:20.870996,0.0003021982370467,2.0280551373586757,1.721569359036531
6,6,6,6,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,7.839448273666394e-06,0.166432800913116,2.227097806640274e-05,0.9136488505487594,2.3048824589437086e-05,1.887977530454496e-05,0.9413815771431964,0.1867539662378203,2.122377029751043e-05,0.218322288294835,8.030934188476786e-05,0.0235198550217398,0.5256251813960363,0.1791539988762332,-0.0003469614482719,-0.0004282240337694,7478.0,1.0,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,0.1059212367073244,0.6331599460365578,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2498489161364368,0 days 20:57:20.870996,0.0003469617661634,2.368063895327156,1.859938205050452
7,7,7,7,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.5734762523126938,0.1359815699593295,0.1522451333390264,0.3615601747451976,0.1675061962619279,0.1713823277093764,0.2421159905954704,0.3259375088568252,0.1633889755500245,0.4883580484779082,1.000044847043826,0.2765151868351055,0.1565909584156138,0.1860502701831143,-0.0002683751721396,-0.0003235314346987,476.0,0.0,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3994945273933696,0 days 20:57:20.870996,0.0002683943960125,1.7881698595668438,1.7130807535287418
8,8,8,8,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,1.0000178644949784,0.0511519998888213,0.2985401184956653,0.4939701614021423,0.0460407872509177,0.082997786373508,0.2229524190699044,0.0279353129401284,0.2874695290956542,0.0471996578963245,0.4260920680758801,0.0275383625646804,0.0122471913910385,0.0150145272355132,-0.0005270654991524,-0.0006096117595044,1709.0,0.0,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1747449652414472,0 days 20:57:20.870996,0.0005270655019524,1.9269096175002232,1.8860535218955563
9,9,9,9,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1921036780911383,0.1298784269025717,0.0707836038876653,0.0001738083132946,0.0003341163625721,0.4873887830620168,0.2801933710804341,2.0279961757045623e-05,1.884195161694842e-05,7.54633660261302e-05,0.2328863509612017,0.0390254962418863,0.3750426973291696,2.8537123174105428e-05,-0.000552642557881,-0.0006643354937932,7730.0,1.0,0.1097346640066967,0.2032415440873966,0.2838064889441311,0.3141338956023022,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1637141660368273,0 days 20:57:20.870996,0.0005526427561168,1.8819713426864044,1.7059388876649384
10,10,10,10,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.5073965755399267,0.3425548337711059,0.1087407738639085,0.1415885542446388,0.5047273761378684,0.053840566525196,0.2265262357370808,0.0602987390591967,0.2671685745822911,0.4777427130855716,1.0001102588830608,0.075688966132992,0.0993582800138844,0.7504958245557554,-0.0002610896898429,-0.0003062174732471,862.0,0.0,0.0770838085005387,0.4884492270855238,0.2128309953403343,0.1326962975467872,0.506064922529373,0.785085292596959,0.2950064428055194,0.7687717599091665,0.5256295231622541,0.1490480233707125,0.9649677439797356,0.4016362238885175,0.2952342556626958,0.8469983706337296,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3869421574463079,0 days 20:57:20.870996,0.000261104132875,1.8258194239760528,1.7567699108640573
11,11,11,11,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.2837303616516209,0.5707451461817468,0.6857101715534513,0.2931967525662626,3.889875036663809e-06,0.4759233263188578,0.4196085508434691,0.3816255926744287,0.5883467293441078,6.971555272057283e-07,8.314130913731343e-05,0.2053409389525011,0.0061099104288426,1.5150380902035816e-06,0.9178057641235804,-0.0003374531073368,-0.00039695392689,100000.0,0.0,0.1244603325154798,0.7335904610737034,0.1878247425654683,0.3924917760125824,0.2318998784621384,0.8412279926923869,0.3900745519398617,0.9746928128822892,0.6252614844151068,0.6936228347029152,0.5215251221324175,0.3089681990755911,0.3955564210524287,0.9409341876619016,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2881984324147423,0 days 20:57:20.870996,0.0003374808503879,1.7758276870994447,1.7494846035458698
12,12,12,12,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,0.333461801578636,1.0002836308379808,0.4461108000052528,0.0779363513659081,0.2554161576631983,0.1427337774760693,0.1314657752230429,0.1459502093640964,0.0700000931577099,0.4417284586068546,0.0885046969126564,0.7174498031963862,0.5694919458684974,0.142936836677546,0.3820941095406849,-0.0002868653341163,-0.0003294958628159,685.0,0.0,0.2012032007246644,0.9882189012202124,0.7583058620038184,0.3597869264926102,0.6415135895056033,0.3809815392930875,0.38149293263992,0.5038029501945296,0.016722821635377,0.4935715599433962,0.971598413446888,0.2854652287855784,0.7482179590766121,0.442788890070495,100000,30,14,0.1,3.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3302056791501503,0 days 20:57:20.870996,0.0002868738372492,1.9311059381308608,1.7146912783219292
