,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma0_13,Gamma0_14,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,Gamma13,Gamma14,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.1306870229743345,0.8403197646017465,0.0973874542482557,0.2592587710712354,1.001838246057514,0.0277892688925361,0.2789900132950083,0.1138764774613593,0.0365053865622195,0.0229495348749981,0.0146613840801022,0.1164863430855026,0.0168137439283451,0.0187942229219992,0.0350342661734725,-0.0019859505478269,-0.0023162296022256,1072.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1298297878758263,0 days 16:22:05.799689,0.001985964818775,4.507368731322106,4.361950797225896
1,1,1,1,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.6069148663149828,0.1205426123812821,0.1284226931584092,0.120502672503277,0.1181469033394594,0.1181799591977988,0.9399647286244772,0.1175637170747132,0.12007879773557,1.000142228384429,1.0014160907909704,0.4331934480602418,0.1180768079988519,0.567312950971346,-0.0010764004780434,-0.0012136176544067,464.0,0.0,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3400230535276376,0 days 16:22:05.799689,0.0010764399835902,4.5066971175326715,4.3426576832240515
2,2,2,2,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.9834444641018656,0.5477008025671802,0.1386254480042172,0.2378238226032197,0.0526749391081372,0.9956727379791798,0.0365672217059572,1.00115963270992,0.0641850654583122,0.0360485016605883,0.0366100830858296,0.13683986109469,0.0365637701898801,0.0383398397970341,-0.0017255697539568,-0.0024614297339538,727.0,0.0,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,0.641328169139375,0.8526328384806567,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1932367177157383,0 days 16:22:05.799689,0.001725574529834,4.60017554667602,4.415484103071822
3,3,3,3,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.7623375055934282,0.6591602366810523,8.004209724535613e-06,0.2078557100249487,0.2485570110379073,1.4013256206141292e-05,0.0853905083220773,9.722346594490724e-06,0.615686260378217,0.9547045267486388,4.817784186490065e-06,0.7741967857140659,4.287980256067512e-06,0.3376775409216666,-0.001062971872155,-0.0013389516851038,8697.0,1.0,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3011129299263276,0 days 16:22:05.799689,0.0010629771858747,3.8577258387896793,4.143919558969401
4,4,4,4,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.0582815458123084,0.494871959359816,0.0736790983976254,4.648583607378164e-07,2.1005829304623348e-07,3.631100775099662e-07,1.4207776970854763e-06,0.0757723147621627,0.0219278562792187,5.958228434311852e-07,1.2557647144572e-07,9.998230236047006e-08,0.0746531049213639,1.421148777244607e-06,2.757461862550778e-07,-0.0033710662125165,-0.0045223427428888,11018.0,0.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.0581813498348048,0 days 16:22:05.799689,0.0033710682710188,4.552658588852604,4.3015276734076755
5,5,5,5,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.4180637241455752,0.9799735732449418,0.5196029649436303,0.1703610567108184,0.2004635749418025,0.185832941692895,0.2142559865688062,0.1816706765988786,1.0001146660271911,0.1729753842999338,0.2746735898244112,0.1908765171567532,0.2055809610710239,0.4588533747600529,0.662718904229743,-0.0009436769043949,-0.0010113121241049,391.0,0.0,0.1505248304211774,0.4822123881993365,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4184179393575218,0 days 16:22:05.799689,0.0009436770858746,4.215062530377328,4.281154572479541
6,6,6,6,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0903900253668817,0.0094958571410434,1.0004252307689403,0.1849786377037399,0.01474969709808,0.0127743975000165,0.6494236354141553,0.0154668703511274,0.0128030372601704,0.0145909660795211,0.0139301200565246,0.009458578092206,0.0085175333329312,0.0093836734598935,-0.0023628410647502,-0.0032119096267873,1067.0,0.0,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,0.1059212367073244,0.6331599460365578,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.0976214234754908,0 days 16:22:05.799689,0.0023628413564543,5.208686267688897,4.57597966943614
7,7,7,7,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.4940566903459875,0.4298408688660076,0.4709021101245217,0.0966087210665815,0.1846264545228771,0.3490027178411141,0.4622520826943855,0.0913851215062925,0.9085640563624569,0.102216410520761,1.0007298968876963,0.1025719738833572,0.0903146327996942,0.465538776899661,-0.0010924651439626,-0.001249824165293,539.0,0.0,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.313757386780829,0 days 16:22:05.799689,0.0010924685771829,4.206923416987437,4.13541436375223
8,8,8,8,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.9507760758957244,0.2090677133590023,0.0626525551867709,0.1057750011343886,0.0619133132224141,0.0618963065992964,0.8580898860753007,0.0615660538120547,0.3074958443019492,1.0007395227777522,0.5234657585517779,0.0994324462230923,0.081243221283579,0.2754339452881431,-0.0013858334586611,-0.0015566914437533,609.0,0.0,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2511552739765066,0 days 16:22:05.799689,0.0013858519665344,4.326871089874275,4.101837833676875
9,9,9,9,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,1.0000096425417913,0.4791988593040635,0.3921088472190837,0.3877403929254403,0.376099694932955,0.3138684231001846,0.6036242421257747,0.0742083804269286,0.0489101695117627,0.0644275407984861,0.0325187566946867,0.4528532798228977,0.0727077356811582,0.5246186118909708,-0.0012039199403035,-0.0012683041919117,1142.0,0.0,0.1097346640066967,0.2032415440873966,0.2838064889441311,0.3141338956023022,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,100000,30,14,0.1,1.0,0.1,0,13,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2959539055473019,0 days 16:22:05.799689,0.0012039474584861,3.824974906324642,3.950128944565114
