,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
0,0,0,0,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.1342056168708575,0.7830820068584552,0.1189957307866918,0.4517859948435652,0.1082669943606575,0.093987645823876,1.0006049884082284,0.1414432340560477,-0.0023387497776262,-0.0027217783410113,542.0,0.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3093971042354024,0 days 01:50:36.775576,0.0023387939853171,3.0722029457142246,2.8396142385122225
1,1,1,1,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.0772165098244561,0.1644802363099606,0.9926701098330506,0.6425093183790667,0.0614098813617877,1.0008656327224592,0.0616336745932313,0.0620678970638971,-0.0029072807432253,-0.0041397563162012,609.0,0.0,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2483199433752615,0 days 01:50:36.775576,0.0029072908117833,3.281342693117489,2.79895833239622
2,2,2,2,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.8772311097767364,0.410170243078241,0.3500296121918101,0.3886208091015938,0.1588135707917152,0.0013512835132094,0.371558912681999,0.0285720384367922,-0.0030274437860621,-0.0032589260344968,8307.0,1.0,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2393301752704533,0 days 01:50:36.775576,0.0030274975853996,2.806697760599693,2.672369455817572
3,3,3,3,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.367392478180207,0.1329888691945794,0.1171674986816559,0.0889127758030035,0.097799104555002,0.1275961923096962,1.0004508511439507,0.2148701256425887,0.6871330717980154,-0.0020297726695567,-0.0022489166751566,618.0,0.0,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3696435897866111,0 days 01:50:36.775576,0.0020297898442702,2.7428495183419166,2.7855282652569926
4,4,4,4,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.1652532555256885,0.9619090673435629,0.1650596887795034,1.0002064683554126,0.2015925677453845,0.1657434692321095,0.1691410329791865,0.775861088996056,-0.002012243982897,-0.0022463550648007,395.0,0.0,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4073102253906312,0 days 01:50:36.775576,0.0020122643288171,2.830757197667176,2.709707184821589
5,5,5,5,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1394082826282576,0.1525644881476514,0.8514321416957793,0.0192904471954044,0.0190856753506198,1.0012590635038896,0.0188394339070162,0.0189620082693507,0.0194581084472318,-0.0042259087838489,-0.0059623150325817,865.0,0.0,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1414767947506811,0 days 01:50:36.775576,0.0042260703928016,3.007238725291036,2.6215575263187136
6,6,6,6,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.1218677937167324,1.0018489930441263,0.9878396914501132,0.9789524383310544,0.0847826201202656,0.9549628902582008,0.0855241075011348,0.1852806607334207,-0.0020800010677389,-0.0025722803109716,538.0,0.0,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.292539488395317,0 days 01:50:36.775576,0.0020800018027205,3.064093658463669,2.7477437111137113
7,7,7,7,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1115845288962125,1.00224535996288,0.7756430742643201,0.0706309368122131,0.2166592487964872,0.5347809843304381,0.0440133936804264,0.0365105679854464,-0.0036057415421589,-0.0043429322079419,722.0,0.0,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1930960560315318,0 days 01:50:36.775576,0.0036057480474295,3.363125091421196,2.9317160071767034
8,8,8,8,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.2554455092477402,0.1475602509316808,0.1476248437408101,0.5980018773588077,0.9997851015765096,1.0015994600831073,0.1498749452611125,0.1505746685286078,-0.0022684537835629,-0.0026489588230796,424.0,0.0,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,0.1505248304211774,0.4822123881993365,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3876411764042299,0 days 01:50:36.775576,0.0022685320286597,3.1995337447787797,2.942695798224152
9,9,9,9,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.1225113576604117,0.014990483893493,0.0151594273264017,0.0374486738542427,0.1039862029647187,0.1135136336078179,1.0017464539344303,0.0150841401096664,0.0147084656877216,-0.0043492149113994,-0.0065580919103755,921.0,0.0,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,100000,30,8,0.1,1.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1242662902248134,0 days 01:50:36.775576,0.0043493766963927,3.7057200469115674,3.0505561310927427
