,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,cohlength,ucohlength,ueta,keep
0,0,0,0,0,0,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.1255000253765422,0.6915809838426237,0.6966725451874782,0.8559860586604655,0.285815026040415,0.0028149795771376,0.5720015507827786,0.0045584423941405,0.201261093200929,0.9335113953200384,0.171363154596807,0.1703539732275205,-0.0003174481134558,-0.0003611464055179,4568.0,1.0,0.5118216247002567,0.9504636963259352,0.1441596127196337,0.948649447137244,0.3118314520104854,0.4233264489725756,0.8277025938204418,0.4091991363691613,0.5495936876730595,0.0275591132430683,0.7535131086748066,0.5381433132192782,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.4038425218341609,0 days 11:37:49.297523,1.5819116406080445,1.342454291876311,0.0003174481134558,1.0
1,1,1,1,1,1,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.0077266178381558,0.6598408511756501,0.367753144675738,0.000931594502736,0.1726444189030133,0.0242724794361378,0.3496924353576685,0.0001511356056411,0.4763662011246052,0.0001495672102851,0.4895749117903422,0.3908721745526294,-0.0004258801094017,-0.000492612216789,4462.0,1.0,0.3297317164990921,0.7884287034284043,0.303194829291645,0.4534978894806515,0.1340416972471647,0.4031129864471292,0.2034552406761496,0.2623133404418495,0.7503646726300526,0.2804087579860399,0.485190974431635,0.9807371998012386,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2938570542223578,0 days 11:37:49.297523,1.9944518476236752,1.4372555397091036,0.0004258801094017,1.0
2,2,2,2,2,2,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3228628202536728,0.3650335438231839,0.1076280959624184,0.3626204171483357,0.080557174297878,0.355692137196295,1.0002237239273275,0.0450470908715273,0.5607417194465476,0.0525202502913416,0.0570693250568015,0.0667110617150623,0.2981332114271641,-0.0004011014038478,-0.0005044856595912,920.0,0.0,0.9616571936637868,0.7247899407735336,0.5412268555474342,0.2768912040453708,0.1606520087751268,0.9699254132161326,0.5160685855478787,0.1158656124707703,0.6234897555375004,0.776683114342298,0.6130033010530405,0.9172977047909028,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3235760143058905,0 days 11:37:49.297523,1.605659540267967,1.3176854105077973,0.0004011014038478,1.0
3,3,3,3,3,3,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.2747120789270809,0.923585708779954,4.4638582955948754e-05,7.155741858768983e-05,0.5615278032739872,8.266166811705422e-05,0.0001628923101406,0.0813391685209619,0.4539423400213486,0.5358746535156821,0.0004551918993051,0.0004654464649497,0.3289566329518846,-0.000453929944478,-0.0005765932687353,5420.0,1.0,0.0395928766642028,0.5285892632600216,0.4593358828854037,0.0623495791498756,0.641328169139375,0.8526328384806567,0.592941018104284,0.2600974477372232,0.8398815210314088,0.5094958815215094,0.510888884466533,0.7530302077021779,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2711957111135266,0 days 11:37:49.297523,2.4754452142247376,1.4446701520931668,0.000453929944478,1.0
4,4,4,4,4,4,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,1.0008156488470212,0.1559449901917011,0.1613527675610993,0.1853936255252934,0.6183116980030523,0.7527825883616048,0.1459732944432723,0.6230804104375103,0.4613511685892138,0.1562674330829184,0.1776981723256732,0.5081216044317346,-0.0003443731792478,-0.0003869968444367,438.0,0.0,0.1479220357849565,0.819626719119277,0.6832869060032571,0.787096941554801,0.1916162590201352,0.80236416113453,0.1913239260572002,0.0815526173635127,0.8552269742870702,0.8612834961776684,0.8765370964165805,0.4719097193587902,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3881470944808185,0 days 11:37:49.297523,1.2534519291654316,1.2730362104391306,0.0003443731792478,1.0
5,5,5,5,5,5,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.3919100249433399,0.0025367078607444,0.8795372395263251,0.1857027048082666,0.0010808237441724,0.7822386325745198,0.0327386529051055,0.1248502897578729,0.4943188967634511,0.0009976893611318,0.5073871134194974,0.7457562546705165,0.0009448058009803,-0.0003514094299098,-0.0004059105346454,5152.0,1.0,0.2740483886137183,0.0070918286031662,0.6457208955749478,0.719909383508693,0.8355692165002742,0.2818778273645421,0.2152181671629736,0.6393313800665879,0.8050548331450097,0.9636708728449708,0.1505248304211774,0.4822123881993365,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3949913538079272,0 days 11:37:49.297523,1.3061592614522852,1.2235656109678932,0.0003514094299098,1.0
6,6,6,6,6,6,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.7064235466802752,0.1012647430028486,0.0002195354835018,0.4606412910864778,0.0003443526217259,0.2148969867859866,0.0067662905684703,0.1436642442316455,0.0916548753759778,0.6277004827078435,0.1183301469215829,0.8734482226384866,-0.000380026855523,-0.0004533660922937,4611.0,1.0,0.8947158621961735,0.4227169069454373,0.5895020620840481,0.0244906774933632,0.6734598871529389,0.9190886196338224,0.8268253295567211,0.8855202667099468,0.6603553805205233,0.2455522672431775,0.7685169988962544,0.2116747426075105,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.3065015156024496,0 days 11:37:49.297523,2.075693145923679,1.37986860451589,0.000380026855523,1.0
7,7,7,7,7,7,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.2659804395593755,0.0025741290092227,0.98924637389458,0.6075791729264308,0.3840563291180159,0.0002910567515192,0.000671037025261,0.5430799996811472,0.2470335464933277,0.0001712010276312,0.3617897270355791,0.0619993103593573,0.0010554788981167,-0.0004406296988274,-0.0005146715722931,4739.0,1.0,0.8312748346644612,0.0627179225707682,0.8254878133935558,0.1645072664741013,0.3751469964966418,0.3167381665569643,0.6913370352777413,0.1785718781743719,0.3962561622169864,0.0058245951079809,0.2624947127501015,0.4211888142289552,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2621141990146495,0 days 11:37:49.297523,1.996085161320183,1.4949624512668445,0.0004406296988274,1.0
8,8,8,8,8,8,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,0.2263129568399526,1.0001060693428514,0.0534485178522475,0.3069357489548627,0.0389072497897699,0.0826457840064308,0.4275950673961329,0.0968965843930787,0.0655992205582464,0.1298028356715036,0.4174133071909555,0.0374593741374555,0.5109061745975402,-0.0005077816682196,-0.0005519527889708,946.0,0.0,0.1059212367073244,0.6331599460365578,0.3804242698865323,0.7252939380762389,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2240198318223923,0 days 11:37:49.297523,2.000720011019673,1.5635931013347195,0.0005077816682196,1.0
9,9,9,9,9,9,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,0.2575263326771198,1.0011837309918477,0.2461606563763002,0.0865570749593276,0.0851749645210617,0.5195520139132596,0.2023886184894801,0.2978441827080546,0.5192606585867346,0.0827296118662971,0.0797767668548996,0.1444215864747139,0.0613762351672568,-0.0004989155495667,-0.0005900452812957,665.0,0.0,0.996141190118628,0.2432154643063271,0.2568674672271027,0.0731900723909659,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,100000,30,12,0.1,5.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-07,adamax,0,0.0,disordered,1,0.2611256900376065,0 days 11:37:49.297523,1.457888584347693,1.358623285491242,0.0004989155495667,1.0
